dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
10_cover,t100,18,adjusted,0,0.00000000,0.87709224,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
10_cover,t100,18,adjusted,1,0.00000000,0.87709224,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
10_cover,t100,18,adjusted,2,0.00000000,0.87709224,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
10_cover,t100,18,adjusted,3,0.00000000,0.87709224,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
10_cover,t100,18,adjusted,4,0.00000000,0.87709224,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
10_cover,t100,18,adjusted,5,2.50000000,0.87709224,"0.75;1;1.25;1.5;1.75;2;2.5;3"
10_cover,t100,18,adjusted,6,0.00000000,0.87709224,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
10_cover,t100,18,adjusted,7,0.00000000,0.87709224,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
10_cover,t100,18,adjusted,8,0.00000000,0.87709224,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
10_cover,t100,18,adjusted,9,0.75000000,0.87709224,"0.75;1;1.25;1.5;1.75;2;2.5;3"
