dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
15_Hepatitis,t100,146,adjusted,0,1.00000000,0.71428567,"0.75;1;1.25;1.5;1.75;2;2.5;3"
15_Hepatitis,t100,146,adjusted,1,0.00000000,0.71428567,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,146,adjusted,2,0.00000000,0.71428567,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,146,adjusted,3,0.00000000,0.71428567,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,146,adjusted,4,0.00000000,0.71428567,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,146,adjusted,5,0.00000000,0.71428567,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,146,adjusted,6,0.00000000,0.71428567,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,146,adjusted,7,0.00000000,0.71428567,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,146,adjusted,8,0.00000000,0.71428567,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,146,adjusted,9,0.00000000,0.71428567,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,146,adjusted,10,0.00000000,0.71428567,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,146,adjusted,11,0.00000000,0.71428567,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,146,adjusted,12,0.00000000,0.71428567,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,146,adjusted,13,0.00000000,0.71428567,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,146,adjusted,14,1.00000000,0.71428567,"0.75;1;1.25;1.5;1.75;2;2.5;3"
15_Hepatitis,t100,146,adjusted,15,1.50000000,0.71428567,"0.75;1;1.25;1.5;1.75;2;2.5;3"
15_Hepatitis,t100,146,adjusted,16,0.00000000,0.71428567,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,146,adjusted,17,1.50000000,0.71428567,"0.75;1;1.25;1.5;1.75;2;2.5;3"
15_Hepatitis,t100,146,adjusted,18,0.00000000,0.71428567,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
