dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
18_Ionosphere,t100,116,adjusted,0,1.25000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,1,2.50000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,2,1.50000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,3,1.25000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,4,1.50000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,5,1.25000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,6,1.50000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,7,1.50000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,8,1.50000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,9,1.50000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,10,1.25000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,11,1.50000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,12,1.50000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,13,0.75000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,14,1.50000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,15,1.50000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,16,1.50000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,17,1.50000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,18,1.50000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,19,0.75000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,20,1.25000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,21,1.50000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,22,1.25000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,23,1.50000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,24,1.50000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,25,1.50000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,26,1.50000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,27,1.50000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,28,1.25000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,29,1.50000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,30,0.75000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
18_Ionosphere,t100,116,adjusted,31,1.25000000,0.96013296,"0.75;1;1.25;1.5;1.75;2;2.5;3"
