dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
19_landsat,t100,125,adjusted,0,2.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,1,2.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,2,2.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,3,0.75000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,4,2.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,5,1.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,6,0.75000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,7,1.00000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,8,2.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,9,1.75000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,10,2.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,11,0.75000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,12,2.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,13,1.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,14,1.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,15,1.25000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,16,2.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,17,1.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,18,1.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,19,1.25000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,20,0.75000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,21,2.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,22,2.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,23,2.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,24,1.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,25,1.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,26,1.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,27,1.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,28,1.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,29,1.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,30,1.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,31,1.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,32,0.75000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,33,1.75000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,34,2.50000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
19_landsat,t100,125,adjusted,35,1.25000000,0.79412621,"0.75;1;1.25;1.5;1.75;2;2.5;3"
