dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
22_magic.gamma,t100,127,adjusted,0,3.00000000,0.81145984,"0.75;1;1.25;1.5;1.75;2;2.5;3"
22_magic.gamma,t100,127,adjusted,1,3.00000000,0.81145984,"0.75;1;1.25;1.5;1.75;2;2.5;3"
22_magic.gamma,t100,127,adjusted,2,3.00000000,0.81145984,"0.75;1;1.25;1.5;1.75;2;2.5;3"
22_magic.gamma,t100,127,adjusted,3,0.75000000,0.81145984,"0.75;1;1.25;1.5;1.75;2;2.5;3"
22_magic.gamma,t100,127,adjusted,4,2.00000000,0.81145984,"0.75;1;1.25;1.5;1.75;2;2.5;3"
22_magic.gamma,t100,127,adjusted,5,0.75000000,0.81145984,"0.75;1;1.25;1.5;1.75;2;2.5;3"
22_magic.gamma,t100,127,adjusted,6,3.00000000,0.81145984,"0.75;1;1.25;1.5;1.75;2;2.5;3"
22_magic.gamma,t100,127,adjusted,7,1.50000000,0.81145984,"0.75;1;1.25;1.5;1.75;2;2.5;3"
22_magic.gamma,t100,127,adjusted,8,0.75000000,0.81145984,"0.75;1;1.25;1.5;1.75;2;2.5;3"
22_magic.gamma,t100,127,adjusted,9,3.00000000,0.81145984,"0.75;1;1.25;1.5;1.75;2;2.5;3"
