dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
24_mnist,t100,119,adjusted,1,2.00000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,2,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,4,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,5,0.00000000,0.76195794,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
24_mnist,t100,119,adjusted,8,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,9,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,10,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,11,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,12,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,13,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,14,0.00000000,0.76195794,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
24_mnist,t100,119,adjusted,15,0.00000000,0.76195794,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
24_mnist,t100,119,adjusted,16,0.00000000,0.76195794,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
24_mnist,t100,119,adjusted,17,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,18,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,19,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,20,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,22,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,23,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,24,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,25,2.00000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,27,3.00000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,30,2.00000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,32,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,33,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,34,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,38,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,41,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,42,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,43,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,45,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,46,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,47,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,48,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,49,0.00000000,0.76195794,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
24_mnist,t100,119,adjusted,51,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,54,0.00000000,0.76195794,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
24_mnist,t100,119,adjusted,56,0.00000000,0.76195794,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
24_mnist,t100,119,adjusted,57,3.00000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,58,0.00000000,0.76195794,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
24_mnist,t100,119,adjusted,59,2.00000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,62,0.00000000,0.76195794,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
24_mnist,t100,119,adjusted,63,0.00000000,0.76195794,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
24_mnist,t100,119,adjusted,64,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,65,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,66,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,67,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
24_mnist,t100,119,adjusted,68,0.00000000,0.76195794,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
24_mnist,t100,119,adjusted,69,1.50000000,0.76195794,"0.75;1;1.25;1.5;1.75;2;2.5;3"
