dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
27_PageBlocks,t100,128,adjusted,0,1.75000000,0.90194768,"0.75;1;1.25;1.5;1.75;2;2.5;3"
27_PageBlocks,t100,128,adjusted,1,3.00000000,0.90194768,"0.75;1;1.25;1.5;1.75;2;2.5;3"
27_PageBlocks,t100,128,adjusted,2,2.50000000,0.90194768,"0.75;1;1.25;1.5;1.75;2;2.5;3"
27_PageBlocks,t100,128,adjusted,3,1.00000000,0.90194768,"0.75;1;1.25;1.5;1.75;2;2.5;3"
27_PageBlocks,t100,128,adjusted,4,3.00000000,0.90194768,"0.75;1;1.25;1.5;1.75;2;2.5;3"
27_PageBlocks,t100,128,adjusted,5,3.00000000,0.90194768,"0.75;1;1.25;1.5;1.75;2;2.5;3"
27_PageBlocks,t100,128,adjusted,6,3.00000000,0.90194768,"0.75;1;1.25;1.5;1.75;2;2.5;3"
27_PageBlocks,t100,128,adjusted,7,3.00000000,0.90194768,"0.75;1;1.25;1.5;1.75;2;2.5;3"
27_PageBlocks,t100,128,adjusted,8,3.00000000,0.90194768,"0.75;1;1.25;1.5;1.75;2;2.5;3"
27_PageBlocks,t100,128,adjusted,9,3.00000000,0.90194768,"0.75;1;1.25;1.5;1.75;2;2.5;3"
