dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
35_SpamBase,t100,124,adjusted,0,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,1,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,2,0.75000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,3,0.00000000,0.83087617,"NONRELEVANT:BINARY_FIXED_0_1"
35_SpamBase,t100,124,adjusted,4,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,5,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,6,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,7,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,8,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,9,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,10,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,11,2.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,12,0.75000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,13,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,14,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,15,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,16,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,17,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,18,0.75000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,19,2.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,20,0.75000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,21,0.00000000,0.83087617,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
35_SpamBase,t100,124,adjusted,22,2.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,23,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,24,2.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,25,2.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,26,0.00000000,0.83087617,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
35_SpamBase,t100,124,adjusted,27,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,28,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,29,0.00000000,0.83087617,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
35_SpamBase,t100,124,adjusted,30,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,31,0.00000000,0.83087617,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
35_SpamBase,t100,124,adjusted,32,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,33,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,34,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,35,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,36,2.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,37,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,38,0.00000000,0.83087617,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
35_SpamBase,t100,124,adjusted,39,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,40,0.00000000,0.83087617,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
35_SpamBase,t100,124,adjusted,41,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,42,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,43,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,44,2.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,45,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,46,0.00000000,0.83087617,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
35_SpamBase,t100,124,adjusted,47,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,48,1.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,49,2.50000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
35_SpamBase,t100,124,adjusted,50,1.25000000,0.83087617,"0.75;1;1.25;1.5;1.75;2;2.5;3"
