dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
36_speech,t100,103,adjusted,0,2.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,1,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,2,2.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,3,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,4,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,5,2.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,6,2.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,7,2.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,8,2.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,9,2.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,10,2.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,11,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,12,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,13,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,14,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,15,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,16,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,17,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,18,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,19,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,20,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,21,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,22,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
