dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
41_Waveform,t100,149,adjusted,0,0.75000000,0.90791416,"0.75;1;1.25;1.5;1.75;2;2.5;3"
41_Waveform,t100,149,adjusted,1,1.25000000,0.90791416,"0.75;1;1.25;1.5;1.75;2;2.5;3"
41_Waveform,t100,149,adjusted,2,1.25000000,0.90791416,"0.75;1;1.25;1.5;1.75;2;2.5;3"
41_Waveform,t100,149,adjusted,3,1.25000000,0.90791416,"0.75;1;1.25;1.5;1.75;2;2.5;3"
41_Waveform,t100,149,adjusted,4,1.75000000,0.90791416,"0.75;1;1.25;1.5;1.75;2;2.5;3"
41_Waveform,t100,149,adjusted,5,1.75000000,0.90791416,"0.75;1;1.25;1.5;1.75;2;2.5;3"
41_Waveform,t100,149,adjusted,6,1.75000000,0.90791416,"0.75;1;1.25;1.5;1.75;2;2.5;3"
41_Waveform,t100,149,adjusted,7,0.75000000,0.90791416,"0.75;1;1.25;1.5;1.75;2;2.5;3"
41_Waveform,t100,149,adjusted,8,1.50000000,0.90791416,"0.75;1;1.25;1.5;1.75;2;2.5;3"
41_Waveform,t100,149,adjusted,9,1.25000000,0.90791416,"0.75;1;1.25;1.5;1.75;2;2.5;3"
41_Waveform,t100,149,adjusted,10,1.75000000,0.90791416,"0.75;1;1.25;1.5;1.75;2;2.5;3"
41_Waveform,t100,149,adjusted,11,2.50000000,0.90791416,"0.75;1;1.25;1.5;1.75;2;2.5;3"
41_Waveform,t100,149,adjusted,12,1.50000000,0.90791416,"0.75;1;1.25;1.5;1.75;2;2.5;3"
41_Waveform,t100,149,adjusted,13,1.50000000,0.90791416,"0.75;1;1.25;1.5;1.75;2;2.5;3"
41_Waveform,t100,149,adjusted,14,1.50000000,0.90791416,"0.75;1;1.25;1.5;1.75;2;2.5;3"
41_Waveform,t100,149,adjusted,15,1.50000000,0.90791416,"0.75;1;1.25;1.5;1.75;2;2.5;3"
41_Waveform,t100,149,adjusted,16,1.50000000,0.90791416,"0.75;1;1.25;1.5;1.75;2;2.5;3"
41_Waveform,t100,149,adjusted,17,1.50000000,0.90791416,"0.75;1;1.25;1.5;1.75;2;2.5;3"
41_Waveform,t100,149,adjusted,18,1.50000000,0.90791416,"0.75;1;1.25;1.5;1.75;2;2.5;3"
41_Waveform,t100,149,adjusted,19,0.75000000,0.90791416,"0.75;1;1.25;1.5;1.75;2;2.5;3"
41_Waveform,t100,149,adjusted,20,1.50000000,0.90791416,"0.75;1;1.25;1.5;1.75;2;2.5;3"
