dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
46_WPBC,t100,111,adjusted,0,1.25000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,1,1.50000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,2,1.50000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,3,0.75000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,4,1.25000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,5,0.75000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,6,1.50000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,7,1.75000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,8,1.50000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,9,1.50000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,10,0.75000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,11,1.50000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,12,0.75000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,13,1.50000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,14,1.50000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,15,0.75000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,16,1.50000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,17,1.50000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,18,1.50000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,19,1.75000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,20,1.25000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,21,1.50000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,22,1.75000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,23,0.75000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,24,0.75000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,25,1.50000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,26,1.50000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,27,1.50000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,28,0.75000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,29,1.50000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,30,0.75000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,31,1.50000000,0.77083331,"0.75;1;1.25;1.5;1.75;2;2.5;3"
46_WPBC,t100,111,adjusted,32,0.00000000,0.77083331,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
