dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
12_fault,t100,114,mad,0,0.50000000,0.74686426,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,114,mad,1,0.50000000,0.74686426,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,114,mad,2,3.00000000,0.74686426,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,114,mad,3,3.00000000,0.74686426,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,114,mad,4,3.00000000,0.74686426,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,114,mad,5,3.00000000,0.74686426,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,114,mad,6,0.50000000,0.74686426,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,114,mad,7,3.00000000,0.74686426,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,114,mad,8,1.50000000,0.74686426,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,114,mad,9,3.00000000,0.74686426,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,114,mad,10,0.50000000,0.74686426,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,114,mad,11,0.00000000,0.74686426,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
12_fault,t100,114,mad,12,0.00000000,0.74686426,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
12_fault,t100,114,mad,13,0.00000000,0.74686426,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
12_fault,t100,114,mad,14,3.00000000,0.74686426,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,114,mad,15,3.00000000,0.74686426,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,114,mad,16,1.00000000,0.74686426,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,114,mad,17,3.00000000,0.74686426,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,114,mad,18,1.00000000,0.74686426,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,114,mad,19,3.00000000,0.74686426,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,114,mad,20,0.00000000,0.74686426,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
12_fault,t100,114,mad,21,1.50000000,0.74686426,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,114,mad,22,3.00000000,0.74686426,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,114,mad,23,0.50000000,0.74686426,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,114,mad,24,3.00000000,0.74686426,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,114,mad,25,3.00000000,0.74686426,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,114,mad,26,3.00000000,0.74686426,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
