dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
15_Hepatitis,t100,107,mad,0,3.00000000,0.74285716,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
15_Hepatitis,t100,107,mad,1,0.00000000,0.74285716,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,107,mad,2,0.00000000,0.74285716,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,107,mad,3,0.00000000,0.74285716,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,107,mad,4,0.00000000,0.74285716,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,107,mad,5,0.00000000,0.74285716,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,107,mad,6,0.00000000,0.74285716,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,107,mad,7,0.00000000,0.74285716,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,107,mad,8,0.00000000,0.74285716,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,107,mad,9,0.00000000,0.74285716,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,107,mad,10,0.00000000,0.74285716,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,107,mad,11,0.00000000,0.74285716,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,107,mad,12,0.00000000,0.74285716,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,107,mad,13,0.00000000,0.74285716,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,107,mad,14,0.50000000,0.74285716,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
15_Hepatitis,t100,107,mad,15,3.00000000,0.74285716,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
15_Hepatitis,t100,107,mad,16,0.00000000,0.74285716,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
15_Hepatitis,t100,107,mad,17,3.00000000,0.74285716,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
15_Hepatitis,t100,107,mad,18,0.00000000,0.74285716,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
