dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
19_landsat,t100,119,mad,0,1.25000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,1,3.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,2,3.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,3,3.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,4,1.25000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,5,2.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,6,8.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,7,1.25000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,8,3.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,9,2.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,10,1.25000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,11,3.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,12,1.25000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,13,3.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,14,1.25000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,15,8.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,16,1.25000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,17,2.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,18,8.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,19,3.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,20,2.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,21,2.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,22,3.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,23,2.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,24,3.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,25,2.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,26,8.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,27,3.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,28,3.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,29,3.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,30,8.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,31,3.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,32,1.25000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,33,8.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,34,3.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,119,mad,35,3.00000000,0.63364857,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
