dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
1_ALOI,t100,142,mad,0,2.00000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,142,mad,1,5.00000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,142,mad,2,8.00000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,142,mad,3,3.00000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,142,mad,4,3.00000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,142,mad,5,3.00000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,142,mad,6,3.00000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,142,mad,7,3.00000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,142,mad,8,3.00000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,142,mad,9,2.00000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,142,mad,10,5.00000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,142,mad,11,0.00000000,0.55141521,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
1_ALOI,t100,142,mad,12,1.25000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,142,mad,13,0.75000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,142,mad,14,3.00000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,142,mad,15,3.00000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,142,mad,16,5.00000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,142,mad,17,0.75000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,142,mad,18,3.00000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,142,mad,19,3.00000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,142,mad,20,0.00000000,0.55141521,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
1_ALOI,t100,142,mad,21,3.00000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,142,mad,22,3.00000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,142,mad,23,0.75000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,142,mad,24,1.25000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,142,mad,25,3.00000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,142,mad,26,3.00000000,0.55141521,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
