dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
24_mnist,t100,138,mad,1,5.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,2,5.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,4,2.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,5,0.00000000,0.69603699,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
24_mnist,t100,138,mad,8,3.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,9,3.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,10,3.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,11,3.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,12,3.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,13,3.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,14,0.00000000,0.69603699,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
24_mnist,t100,138,mad,15,0.00000000,0.69603699,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
24_mnist,t100,138,mad,16,0.00000000,0.69603699,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
24_mnist,t100,138,mad,17,3.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,18,3.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,19,2.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,20,3.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,22,3.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,23,2.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,24,2.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,25,3.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,27,2.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,30,3.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,32,3.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,33,3.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,34,3.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,38,3.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,41,3.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,42,3.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,43,3.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,45,3.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,46,3.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,47,3.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,48,3.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,138,mad,49,0.00000000,0.69603699,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
24_mnist,t100,138,mad,51,3.00000000,0.69603699,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
