dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
27_PageBlocks,t100,8,mad,0,6.00000000,0.91622325,"0.5;0.75;1.0;1.25;1.5;2.0;2.5;3.0;4.0;5.0;6.0;8.0;10.0"
27_PageBlocks,t100,8,mad,1,1.50000000,0.91622325,"0.5;0.75;1.0;1.25;1.5;2.0;2.5;3.0;4.0;5.0;6.0;8.0;10.0"
27_PageBlocks,t100,8,mad,2,1.25000000,0.91622325,"0.5;0.75;1.0;1.25;1.5;2.0;2.5;3.0;4.0;5.0;6.0;8.0;10.0"
27_PageBlocks,t100,8,mad,3,3.00000000,0.91622325,"0.5;0.75;1.0;1.25;1.5;2.0;2.5;3.0;4.0;5.0;6.0;8.0;10.0"
27_PageBlocks,t100,8,mad,4,3.00000000,0.91622325,"0.5;0.75;1.0;1.25;1.5;2.0;2.5;3.0;4.0;5.0;6.0;8.0;10.0"
27_PageBlocks,t100,8,mad,5,3.00000000,0.91622325,"0.5;0.75;1.0;1.25;1.5;2.0;2.5;3.0;4.0;5.0;6.0;8.0;10.0"
27_PageBlocks,t100,8,mad,6,10.00000000,0.91622325,"0.5;0.75;1.0;1.25;1.5;2.0;2.5;3.0;4.0;5.0;6.0;8.0;10.0"
27_PageBlocks,t100,8,mad,7,3.00000000,0.91622325,"0.5;0.75;1.0;1.25;1.5;2.0;2.5;3.0;4.0;5.0;6.0;8.0;10.0"
27_PageBlocks,t100,8,mad,8,3.00000000,0.91622325,"0.5;0.75;1.0;1.25;1.5;2.0;2.5;3.0;4.0;5.0;6.0;8.0;10.0"
27_PageBlocks,t100,8,mad,9,3.00000000,0.91622325,"0.5;0.75;1.0;1.25;1.5;2.0;2.5;3.0;4.0;5.0;6.0;8.0;10.0"
