dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
36_speech,t100,139,mad,0,3.00000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
36_speech,t100,139,mad,1,3.00000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
36_speech,t100,139,mad,2,3.00000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
36_speech,t100,139,mad,3,3.00000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
36_speech,t100,139,mad,4,0.50000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
36_speech,t100,139,mad,5,3.00000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
36_speech,t100,139,mad,6,1.50000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
36_speech,t100,139,mad,7,0.50000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
36_speech,t100,139,mad,8,3.00000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
36_speech,t100,139,mad,9,3.00000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
36_speech,t100,139,mad,10,0.50000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
36_speech,t100,139,mad,11,3.00000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
36_speech,t100,139,mad,12,0.50000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
36_speech,t100,139,mad,13,3.00000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
36_speech,t100,139,mad,14,3.00000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
36_speech,t100,139,mad,15,3.00000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
36_speech,t100,139,mad,16,3.00000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
36_speech,t100,139,mad,17,3.00000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
36_speech,t100,139,mad,18,3.00000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
36_speech,t100,139,mad,19,3.00000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
36_speech,t100,139,mad,20,3.00000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
36_speech,t100,139,mad,21,3.00000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
36_speech,t100,139,mad,22,3.00000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
36_speech,t100,139,mad,23,3.00000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
36_speech,t100,139,mad,24,3.00000000,0.69769114,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
