dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
40_vowels,t100,120,mad,0,3.00000000,0.97960150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,120,mad,1,0.50000000,0.97960150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,120,mad,2,1.50000000,0.97960150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,120,mad,3,3.00000000,0.97960150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,120,mad,4,3.00000000,0.97960150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,120,mad,5,3.00000000,0.97960150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,120,mad,6,3.00000000,0.97960150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,120,mad,7,1.00000000,0.97960150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,120,mad,8,10.00000000,0.97960150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,120,mad,9,3.00000000,0.97960150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,120,mad,10,3.00000000,0.97960150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,120,mad,11,3.00000000,0.97960150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
