dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
41_Waveform,t100,134,mad,0,0.50000000,0.73242658,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
41_Waveform,t100,134,mad,1,0.50000000,0.73242658,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
41_Waveform,t100,134,mad,2,0.50000000,0.73242658,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
41_Waveform,t100,134,mad,3,4.00000000,0.73242658,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
41_Waveform,t100,134,mad,4,4.00000000,0.73242658,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
41_Waveform,t100,134,mad,5,3.00000000,0.73242658,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
41_Waveform,t100,134,mad,6,2.50000000,0.73242658,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
41_Waveform,t100,134,mad,7,0.50000000,0.73242658,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
41_Waveform,t100,134,mad,8,2.50000000,0.73242658,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
41_Waveform,t100,134,mad,9,3.00000000,0.73242658,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
41_Waveform,t100,134,mad,10,3.00000000,0.73242658,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
41_Waveform,t100,134,mad,11,3.00000000,0.73242658,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
41_Waveform,t100,134,mad,12,3.00000000,0.73242658,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
41_Waveform,t100,134,mad,13,3.00000000,0.73242658,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
41_Waveform,t100,134,mad,14,3.00000000,0.73242658,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
41_Waveform,t100,134,mad,15,3.00000000,0.73242658,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
41_Waveform,t100,134,mad,16,3.00000000,0.73242658,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
41_Waveform,t100,134,mad,17,3.00000000,0.73242658,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
41_Waveform,t100,134,mad,18,4.00000000,0.73242658,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
41_Waveform,t100,134,mad,19,3.00000000,0.73242658,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
41_Waveform,t100,134,mad,20,3.00000000,0.73242658,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
