dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
43_WDBC,t100,100,mad,0,0.50000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,1,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,2,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,3,6.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,4,6.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,5,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,6,6.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,7,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,8,1.50000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,9,1.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,10,6.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,11,0.50000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,12,6.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,13,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,14,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,15,6.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,16,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,17,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,18,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,19,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,20,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,21,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,22,6.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,23,10.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,24,4.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,25,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,26,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,27,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,28,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,100,mad,29,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
