dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
46_WPBC,t100,116,mad,0,2.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,1,5.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,2,3.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,3,3.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,4,3.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,5,3.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,6,8.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,7,3.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,8,5.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,9,8.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,10,3.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,11,3.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,12,3.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,13,3.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,14,3.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,15,3.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,16,3.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,17,3.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,18,8.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,19,3.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,20,3.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,21,3.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,22,3.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,23,3.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,24,3.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,25,8.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,26,3.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,27,3.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,28,3.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,29,8.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,30,5.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,31,3.00000000,0.60833335,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,116,mad,32,0.00000000,0.60833335,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
