dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
12_fault,t100,102,zscore,0,4.00000000,0.72262096,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,102,zscore,1,2.50000000,0.72262096,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,102,zscore,2,1.50000000,0.72262096,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,102,zscore,3,3.00000000,0.72262096,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,102,zscore,4,1.00000000,0.72262096,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,102,zscore,5,1.00000000,0.72262096,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,102,zscore,6,3.00000000,0.72262096,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,102,zscore,7,3.00000000,0.72262096,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,102,zscore,8,4.00000000,0.72262096,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,102,zscore,9,1.50000000,0.72262096,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,102,zscore,10,6.00000000,0.72262096,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,102,zscore,11,0.00000000,0.72262096,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
12_fault,t100,102,zscore,12,0.00000000,0.72262096,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
12_fault,t100,102,zscore,13,0.00000000,0.72262096,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
12_fault,t100,102,zscore,14,3.00000000,0.72262096,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,102,zscore,15,3.00000000,0.72262096,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,102,zscore,16,1.00000000,0.72262096,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,102,zscore,17,4.00000000,0.72262096,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,102,zscore,18,2.50000000,0.72262096,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,102,zscore,19,3.00000000,0.72262096,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,102,zscore,20,0.00000000,0.72262096,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
12_fault,t100,102,zscore,21,2.50000000,0.72262096,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,102,zscore,22,1.00000000,0.72262096,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,102,zscore,23,2.50000000,0.72262096,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,102,zscore,24,3.00000000,0.72262096,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,102,zscore,25,3.00000000,0.72262096,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,102,zscore,26,2.50000000,0.72262096,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
