dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
13_fraud,t100,118,zscore,0,10.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,1,1.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,2,10.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,3,4.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,4,10.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,5,3.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,6,3.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,7,3.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,8,6.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,9,3.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,10,4.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,11,6.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,12,3.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,13,6.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,14,3.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,15,3.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,16,3.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,17,3.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,18,3.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,19,0.50000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,20,6.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,21,6.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,22,6.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,23,3.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,24,3.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,25,3.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,26,2.50000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,27,10.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,118,zscore,28,10.00000000,0.94630408,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
