dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
17_InternetAds,t100,124,zscore,0,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,1,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,2,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,3,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,4,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,5,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,6,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,7,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,9,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,10,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,12,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,13,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,14,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,15,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,16,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,19,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,20,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,21,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,22,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,24,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,25,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,26,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,27,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,28,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,29,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
17_InternetAds,t100,124,zscore,30,0.00000000,0.59579861,"NONRELEVANT:BINARY_FIXED_0_1"
