dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
18_Ionosphere,t100,115,zscore,0,0.75000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,1,3.00000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,2,0.75000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,3,2.00000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,4,3.00000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,5,3.00000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,6,3.00000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,7,2.00000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,8,0.75000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,9,3.00000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,10,3.00000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,11,3.00000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,12,0.75000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,13,3.00000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,14,2.00000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,15,0.75000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,16,1.25000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,17,0.75000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,18,3.00000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,19,3.00000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,20,1.25000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,21,3.00000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,22,2.00000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,23,0.75000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,24,1.25000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,25,3.00000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,26,3.00000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,27,3.00000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,28,3.00000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,29,3.00000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,30,3.00000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
18_Ionosphere,t100,115,zscore,31,3.00000000,0.87264675,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
