dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
1_ALOI,t100,118,zscore,0,5.00000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,118,zscore,1,5.00000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,118,zscore,2,0.75000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,118,zscore,3,5.00000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,118,zscore,4,0.75000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,118,zscore,5,3.00000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,118,zscore,6,3.00000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,118,zscore,7,0.75000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,118,zscore,8,0.75000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,118,zscore,9,5.00000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,118,zscore,10,5.00000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,118,zscore,11,0.00000000,0.50275934,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
1_ALOI,t100,118,zscore,12,1.25000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,118,zscore,13,5.00000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,118,zscore,14,5.00000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,118,zscore,15,3.00000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,118,zscore,16,3.00000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,118,zscore,17,5.00000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,118,zscore,18,8.00000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,118,zscore,19,0.75000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,118,zscore,20,0.00000000,0.50275934,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
1_ALOI,t100,118,zscore,21,5.00000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,118,zscore,22,3.00000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,118,zscore,23,5.00000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,118,zscore,24,5.00000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,118,zscore,25,5.00000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
1_ALOI,t100,118,zscore,26,5.00000000,0.50275934,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
