dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
24_mnist,t100,109,zscore,1,5.00000000,0.83978868,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,109,zscore,2,5.00000000,0.83978868,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,109,zscore,4,5.00000000,0.83978868,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,109,zscore,5,0.00000000,0.83978868,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
24_mnist,t100,109,zscore,8,5.00000000,0.83978868,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,109,zscore,9,5.00000000,0.83978868,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,109,zscore,10,5.00000000,0.83978868,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,109,zscore,11,3.00000000,0.83978868,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,109,zscore,12,3.00000000,0.83978868,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,109,zscore,13,3.00000000,0.83978868,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,109,zscore,14,0.00000000,0.83978868,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
24_mnist,t100,109,zscore,15,0.00000000,0.83978868,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
24_mnist,t100,109,zscore,16,0.00000000,0.83978868,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
24_mnist,t100,109,zscore,17,3.00000000,0.83978868,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,109,zscore,18,3.00000000,0.83978868,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,109,zscore,19,3.00000000,0.83978868,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,109,zscore,20,5.00000000,0.83978868,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,109,zscore,22,3.00000000,0.83978868,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,109,zscore,23,3.00000000,0.83978868,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
24_mnist,t100,109,zscore,24,3.00000000,0.83978868,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
