dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
26_optdigits,t100,121,zscore,1,0.00000000,0.77661616,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,121,zscore,2,0.00000000,0.77661616,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,121,zscore,3,0.00000000,0.77661616,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,121,zscore,4,0.00000000,0.77661616,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,121,zscore,5,0.00000000,0.77661616,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,121,zscore,6,0.00000000,0.77661616,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,121,zscore,7,0.00000000,0.77661616,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,121,zscore,8,0.00000000,0.77661616,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,121,zscore,9,0.00000000,0.77661616,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,121,zscore,10,0.00000000,0.77661616,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,121,zscore,11,0.00000000,0.77661616,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,121,zscore,12,0.00000000,0.77661616,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,121,zscore,13,0.00000000,0.77661616,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,121,zscore,14,0.00000000,0.77661616,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,121,zscore,15,0.00000000,0.77661616,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,121,zscore,16,0.00000000,0.77661616,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,121,zscore,17,0.00000000,0.77661616,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,121,zscore,18,0.00000000,0.77661616,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,121,zscore,19,0.00000000,0.77661616,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,121,zscore,20,0.00000000,0.77661616,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,121,zscore,21,0.00000000,0.77661616,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,121,zscore,22,0.00000000,0.77661616,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,121,zscore,23,0.00000000,0.77661616,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,121,zscore,24,0.00000000,0.77661616,"NONRELEVANT:BINARY_FIXED_0_1"
