dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
27_PageBlocks,t100,137,zscore,0,2.00000000,0.91378820,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
27_PageBlocks,t100,137,zscore,1,1.25000000,0.91378820,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
27_PageBlocks,t100,137,zscore,2,0.75000000,0.91378820,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
27_PageBlocks,t100,137,zscore,3,1.25000000,0.91378820,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
27_PageBlocks,t100,137,zscore,4,5.00000000,0.91378820,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
27_PageBlocks,t100,137,zscore,5,3.00000000,0.91378820,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
27_PageBlocks,t100,137,zscore,6,3.00000000,0.91378820,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
27_PageBlocks,t100,137,zscore,7,0.75000000,0.91378820,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
27_PageBlocks,t100,137,zscore,8,8.00000000,0.91378820,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
27_PageBlocks,t100,137,zscore,9,1.50000000,0.91378820,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
