dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
30_satellite,t100,103,zscore,0,2.50000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,1,4.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,2,1.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,3,4.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,4,4.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,5,4.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,6,4.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,7,4.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,8,4.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,9,4.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,10,4.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,11,3.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,12,2.50000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,13,4.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,14,1.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,15,4.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,16,2.50000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,17,4.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,18,1.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,19,3.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,20,3.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,21,4.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,22,4.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,23,1.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,24,3.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,25,3.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,26,3.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,27,4.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,28,1.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,29,4.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,30,4.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,31,1.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,32,3.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,33,3.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,34,3.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,103,zscore,35,4.00000000,0.76612937,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
