dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
40_vowels,t100,121,zscore,0,2.50000000,0.95920306,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,121,zscore,1,0.50000000,0.95920306,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,121,zscore,2,1.00000000,0.95920306,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,121,zscore,3,3.00000000,0.95920306,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,121,zscore,4,1.00000000,0.95920306,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,121,zscore,5,2.50000000,0.95920306,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,121,zscore,6,3.00000000,0.95920306,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,121,zscore,7,0.50000000,0.95920306,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,121,zscore,8,0.50000000,0.95920306,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,121,zscore,9,3.00000000,0.95920306,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,121,zscore,10,3.00000000,0.95920306,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,121,zscore,11,0.50000000,0.95920306,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
