dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
45_wine,t100,141,zscore,0,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
45_wine,t100,141,zscore,1,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
45_wine,t100,141,zscore,2,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
45_wine,t100,141,zscore,3,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
45_wine,t100,141,zscore,4,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
45_wine,t100,141,zscore,5,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
45_wine,t100,141,zscore,6,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
45_wine,t100,141,zscore,7,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
45_wine,t100,141,zscore,8,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
45_wine,t100,141,zscore,9,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
45_wine,t100,141,zscore,10,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
45_wine,t100,141,zscore,11,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
45_wine,t100,141,zscore,12,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
