dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,median,scaled_mad,param_strategy
15_Hepatitis,48,0,continuous,28,20.0,72.0,mad_range,,,38.0,11.8608,mad
15_Hepatitis,48,1,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
15_Hepatitis,48,2,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
15_Hepatitis,48,3,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
15_Hepatitis,48,4,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
15_Hepatitis,48,5,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
15_Hepatitis,48,6,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
15_Hepatitis,48,7,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
15_Hepatitis,48,8,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
15_Hepatitis,48,9,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
15_Hepatitis,48,10,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
15_Hepatitis,48,11,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
15_Hepatitis,48,12,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
15_Hepatitis,48,13,continuous,17,0.4,4.6,mad_range,,,0.95,0.37065,mad
15_Hepatitis,48,14,continuous,39,26.0,215.0,mad_range,,,79.0,33.3585,mad
15_Hepatitis,48,15,continuous,40,14.0,420.0,mad_range,,,59.0,45.2193,mad
15_Hepatitis,48,16,continuous,19,2.7,5.0,mad_range,,,4.0,0.29652000000000023,mad
15_Hepatitis,48,17,continuous,32,0.0,100.0,mad_range,,,66.0,20.7564,mad
15_Hepatitis,48,18,categorical_low_card,2,1.0,2.0,minmax,1.0,2.0,,,fallback
