dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,median,scaled_mad,param_strategy
18_Ionosphere,156,0,continuous,118,0.59733,1.0,mad_range,,,0.947735,0.07748808900000001,mad
18_Ionosphere,156,1,continuous,151,0.037735,1.0,mad_range,,,0.5277499999999999,0.07109437649999997,mad
18_Ionosphere,156,2,continuous,118,0.52099,1.0,mad_range,,,0.9279200000000001,0.10686580799999988,mad
18_Ionosphere,156,3,continuous,153,0.107455,1.0,mad_range,,,0.5305424999999999,0.10679167800000001,mad
18_Ionosphere,156,4,continuous,130,0.38889,1.0,mad_range,,,0.901895,0.13968686549999992,mad
18_Ionosphere,156,5,continuous,152,0.06474,1.0,mad_range,,,0.5410200000000001,0.13690328400000007,mad
18_Ionosphere,156,6,continuous,135,0.286875,1.0,mad_range,,,0.8852949999999999,0.15895325249999998,mad
18_Ionosphere,156,7,continuous,149,0.25019,1.0,mad_range,,,0.5309375000000001,0.10830393000000003,mad
18_Ionosphere,156,8,continuous,137,0.0,1.0,mad_range,,,0.84378,0.19024723199999996,mad
18_Ionosphere,156,9,continuous,150,0.0,1.0,mad_range,,,0.5439825,0.1657213215,mad
18_Ionosphere,156,10,continuous,141,0.0,1.0,mad_range,,,0.8581624999999999,0.18139611000000008,mad
18_Ionosphere,156,11,continuous,152,0.24063,1.0,mad_range,,,0.5336000000000001,0.13799670150000004,mad
18_Ionosphere,156,12,continuous,138,0.0,1.0,mad_range,,,0.8577250000000001,0.17192229599999992,mad
18_Ionosphere,156,13,continuous,152,0.082405,1.0,mad_range,,,0.5201375,0.14339707200000004,mad
18_Ionosphere,156,14,continuous,142,0.0,1.0,mad_range,,,0.814425,0.22546639500000001,mad
18_Ionosphere,156,15,continuous,153,0.11111,1.0,mad_range,,,0.5094875000000001,0.16187397450000013,mad
18_Ionosphere,156,16,continuous,139,0.0,1.0,mad_range,,,0.8134975,0.231908292,mad
18_Ionosphere,156,17,continuous,152,0.0,1.0,mad_range,,,0.4968825,0.10949001,mad
18_Ionosphere,156,18,continuous,144,0.0,1.0,mad_range,,,0.8136025,0.21815717700000004,mad
18_Ionosphere,156,19,continuous,153,0.0,1.0,mad_range,,,0.5037525,0.18744141150000002,mad
18_Ionosphere,156,20,continuous,141,0.03191,1.0,mad_range,,,0.8101625,0.22569990449999996,mad
18_Ionosphere,156,21,continuous,149,0.0,1.0,mad_range,,,0.49672,0.1648243485,mad
18_Ionosphere,156,22,continuous,143,0.0,1.0,mad_range,,,0.7996924999999999,0.2231424195000001,mad
18_Ionosphere,156,23,continuous,150,0.0,1.0,mad_range,,,0.48712999999999995,0.17675927849999992,mad
18_Ionosphere,156,24,continuous,148,0.0,1.0,mad_range,,,0.8061875000000001,0.20033261850000003,mad
18_Ionosphere,156,25,continuous,154,0.0,1.0,mad_range,,,0.49341749999999995,0.13098771000000006,mad
18_Ionosphere,156,26,continuous,144,0.0,1.0,mad_range,,,0.76587,0.234109953,mad
18_Ionosphere,156,27,continuous,149,0.0,1.0,mad_range,,,0.49419250000000003,0.14773738350000004,mad
18_Ionosphere,156,28,continuous,141,0.0,1.0,mad_range,,,0.7739475,0.2189466615,mad
18_Ionosphere,156,29,continuous,151,0.030235,1.0,mad_range,,,0.49661,0.1597242045,mad
18_Ionosphere,156,30,continuous,142,0.040485,1.0,mad_range,,,0.7668275,0.23265329849999994,mad
18_Ionosphere,156,31,continuous,151,0.025885,1.0,mad_range,,,0.498895,0.16206671249999996,mad
