dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,median,scaled_mad,param_strategy
1_ALOI,33672,0,continuous,28406,0.408429,1.0,mad_range,,,0.9227025,0.07037828070000007,mad
1_ALOI,33672,1,continuous,4687,0.0,0.241686,mad_range,,,2e-05,2.9652e-05,mad
1_ALOI,33672,2,continuous,863,0.0,0.081841,mad_range,,,0.0,0.0,mad
1_ALOI,33672,3,continuous,4317,0.0,0.235132,mad_range,,,0.000149,0.00022090739999999998,mad
1_ALOI,33672,4,continuous,3633,0.0,0.092905,mad_range,,,1.6e-05,2.3721599999999997e-05,mad
1_ALOI,33672,5,continuous,1846,0.0,0.105959,mad_range,,,0.0,0.0,mad
1_ALOI,33672,6,continuous,436,0.0,0.013509,mad_range,,,0.0,0.0,mad
1_ALOI,33672,7,continuous,571,0.0,0.027271,mad_range,,,0.0,0.0,mad
1_ALOI,33672,8,continuous,677,0.0,0.057825,mad_range,,,0.0,0.0,mad
1_ALOI,33672,9,continuous,16091,0.0,0.236735,mad_range,,,0.009691,0.0131150796,mad
1_ALOI,33672,10,continuous,1555,0.0,0.084995,mad_range,,,3.2e-05,4.744319999999999e-05,mad
1_ALOI,33672,11,continuous,247,0.0,0.006479,mad_range,,,0.0,0.0,mad
1_ALOI,33672,12,continuous,12140,0.0,0.249819,mad_range,,,0.005202,0.0067947558,mad
1_ALOI,33672,13,continuous,10722,0.0,0.292031,mad_range,,,0.002342,0.0034589058,mad
1_ALOI,33672,14,continuous,2312,0.0,0.104054,mad_range,,,2e-06,2.9651999999999996e-06,mad
1_ALOI,33672,15,continuous,1431,0.0,0.179143,mad_range,,,0.0,0.0,mad
1_ALOI,33672,16,continuous,1999,0.0,0.080768,mad_range,,,4.5e-05,6.6717e-05,mad
1_ALOI,33672,17,continuous,2537,0.0,0.134759,mad_range,,,2e-06,2.9651999999999996e-06,mad
1_ALOI,33672,18,continuous,7067,0.0,0.26742,mad_range,,,2e-05,2.9652e-05,mad
1_ALOI,33672,19,continuous,852,0.0,0.087454,mad_range,,,0.0,0.0,mad
1_ALOI,33672,20,continuous,75,0.0,0.011022,mad_range,,,0.0,0.0,mad
1_ALOI,33672,21,continuous,9993,0.0,0.20589,mad_range,,,0.0008985,0.0013321161,mad
1_ALOI,33672,22,continuous,7025,0.0,0.18483,mad_range,,,0.00097,0.00140847,mad
1_ALOI,33672,23,continuous,905,0.0,0.056392,mad_range,,,1.1e-05,1.63086e-05,mad
1_ALOI,33672,24,continuous,6855,0.0,0.193278,mad_range,,,2.5e-05,3.7065e-05,mad
1_ALOI,33672,25,continuous,10711,0.0,0.194354,mad_range,,,0.002272,0.0033388152,mad
1_ALOI,33672,26,continuous,12376,0.0,0.327949,mad_range,,,0.0018775,0.0027835815,mad
