dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,median,scaled_mad,param_strategy
22_magic.gamma,8608,0,continuous,8543,-0.969134769442185,5.16496153162749,mad_range,,,-0.441532349224356,0.47122799185676245,mad
22_magic.gamma,8608,1,continuous,8381,-1.20903184108237,8.40257062857248,mad_range,,,-0.2823095130798105,0.41252212290340795,mad
22_magic.gamma,8608,2,continuous,3570,-1.750358286863,4.5907516767631,mad_range,,,-0.2653773163368405,0.9518030600542783,mad
22_magic.gamma,8608,3,continuous,4535,-2.00438030345945,2.78192753763412,mad_range,,,-0.150027894167199,1.0113070247418334,mad
22_magic.gamma,8608,4,continuous,3434,-1.87635178331418,4.16740146647042,mad_range,,,-0.1728983482610985,0.9639312271600351,mad
22_magic.gamma,8608,5,continuous,8535,-5.83428863975866,3.78724302277722,mad_range,,,0.17898243528617752,0.49044119261801633,mad
22_magic.gamma,8608,6,continuous,8535,-4.10611882817538,3.79052956566458,mad_range,,,0.12476353843503599,0.7000893676418297,mad
22_magic.gamma,8608,7,continuous,8441,-4.36044134792549,4.85625113579186,mad_range,,,-0.011990238335123,0.7530441289368076,mad
22_magic.gamma,8608,8,continuous,8264,-1.0590755664032,2.3887220279683,mad_range,,,-0.6834035405204815,0.4395157306032453,mad
22_magic.gamma,8608,9,continuous,8458,-2.50405930423131,3.43339807543591,mad_range,,,-0.065835793131828,0.9134049829916463,mad
