dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,median,scaled_mad,param_strategy
25_musk,2106,0,continuous,31,28.0,64.0,mad_range,,,43.0,7.412999999999999,mad
25_musk,2106,1,continuous,199,-198.0,90.0,mad_range,,,-139.0,78.5778,mad
25_musk,2106,2,continuous,186,-164.0,52.0,mad_range,,,-64.0,111.195,mad
25_musk,2106,3,continuous,214,-114.0,155.0,mad_range,,,10.0,123.05579999999999,mad
25_musk,2106,4,continuous,60,-117.0,15.0,mad_range,,,-117.0,0.0,mad
25_musk,2106,5,continuous,276,-157.0,197.0,mad_range,,,58.0,72.64739999999999,mad
25_musk,2106,6,continuous,244,-170.0,217.0,mad_range,,,-46.0,170.499,mad
25_musk,2106,7,continuous,215,-27.0,234.0,mad_range,,,50.0,44.477999999999994,mad
25_musk,2106,8,continuous,290,-244.0,147.0,mad_range,,,-99.5,172.72289999999998,mad
25_musk,2106,9,continuous,322,-187.0,231.0,mad_range,,,-45.0,75.6126,mad
25_musk,2106,10,continuous,210,-155.0,161.0,mad_range,,,-56.0,41.5128,mad
25_musk,2106,11,continuous,237,-131.0,172.0,mad_range,,,-58.0,48.925799999999995,mad
25_musk,2106,12,continuous,252,-140.0,194.0,mad_range,,,-56.0,29.651999999999997,mad
25_musk,2106,13,continuous,152,-137.0,79.0,mad_range,,,-77.0,22.238999999999997,mad
25_musk,2106,14,continuous,199,-121.0,117.0,mad_range,,,-76.0,20.7564,mad
25_musk,2106,15,continuous,272,-316.0,65.0,mad_range,,,-280.0,22.238999999999997,mad
25_musk,2106,16,continuous,286,-223.0,138.0,mad_range,,,-113.0,154.93169999999998,mad
25_musk,2106,17,continuous,244,-150.0,185.0,mad_range,,,-55.0,29.651999999999997,mad
25_musk,2106,18,continuous,238,-84.0,199.0,mad_range,,,-18.0,41.5128,mad
25_musk,2106,19,continuous,244,-89.0,227.0,mad_range,,,-23.0,31.1346,mad
25_musk,2106,20,continuous,353,-240.0,194.0,mad_range,,,-72.5,58.5627,mad
25_musk,2106,21,continuous,246,-185.0,190.0,mad_range,,,-37.0,212.0118,mad
25_musk,2106,22,continuous,310,-224.0,212.0,mad_range,,,-29.0,149.74259999999998,mad
25_musk,2106,23,continuous,333,-76.0,317.0,mad_range,,,-16.0,78.5778,mad
25_musk,2106,24,continuous,249,-100.0,271.0,mad_range,,,-29.5,103.0407,mad
25_musk,2106,25,continuous,326,-236.0,183.0,mad_range,,,-87.0,142.3296,mad
25_musk,2106,26,continuous,264,-185.0,157.0,mad_range,,,28.0,83.0256,mad
25_musk,2106,27,continuous,239,-166.0,144.0,mad_range,,,-138.0,31.1346,mad
25_musk,2106,28,continuous,241,-120.0,174.0,mad_range,,,9.0,77.8365,mad
25_musk,2106,29,continuous,287,-156.0,262.0,mad_range,,,-22.5,180.1359,mad
25_musk,2106,30,continuous,132,-117.0,69.0,mad_range,,,-114.0,4.4478,mad
25_musk,2106,31,continuous,110,-113.0,139.0,mad_range,,,14.0,170.499,mad
25_musk,2106,32,continuous,103,-123.0,115.0,mad_range,,,-24.0,35.5824,mad
25_musk,2106,33,continuous,367,-256.0,160.0,mad_range,,,-117.0,166.0512,mad
25_musk,2106,34,continuous,117,-158.0,102.0,mad_range,,,-44.0,118.60799999999999,mad
25_musk,2106,35,continuous,86,74.0,178.0,mad_range,,,114.5,42.2541,mad
25_musk,2106,36,continuous,229,-175.0,145.0,mad_range,,,-163.0,17.7912,mad
25_musk,2106,37,continuous,239,-154.0,170.0,mad_range,,,9.5,80.8017,mad
25_musk,2106,38,continuous,144,-147.0,99.0,mad_range,,,-56.0,118.60799999999999,mad
25_musk,2106,39,continuous,234,-131.0,194.0,mad_range,,,28.0,93.40379999999999,mad
25_musk,2106,40,continuous,173,-186.0,81.0,mad_range,,,-82.0,118.60799999999999,mad
25_musk,2106,41,continuous,161,-139.0,101.0,mad_range,,,24.0,56.3388,mad
25_musk,2106,42,continuous,300,-166.0,225.0,mad_range,,,-51.0,31.1346,mad
25_musk,2106,43,continuous,185,-134.0,93.0,mad_range,,,-62.0,16.3086,mad
25_musk,2106,44,continuous,189,-136.0,66.0,mad_range,,,-82.0,19.273799999999998,mad
25_musk,2106,45,continuous,269,-263.0,134.0,mad_range,,,-118.0,38.547599999999996,mad
25_musk,2106,46,continuous,243,-159.0,110.0,mad_range,,,-110.0,62.2692,mad
25_musk,2106,47,continuous,350,-258.0,179.0,mad_range,,,-90.0,74.13,mad
25_musk,2106,48,continuous,225,-57.0,207.0,mad_range,,,17.5,34.8411,mad
25_musk,2106,49,continuous,259,-139.0,212.0,mad_range,,,-46.0,44.477999999999994,mad
25_musk,2106,50,continuous,297,-200.0,172.0,mad_range,,,-85.0,35.5824,mad
25_musk,2106,51,continuous,263,-206.0,177.0,mad_range,,,-65.0,194.2206,mad
25_musk,2106,52,continuous,271,-206.0,166.0,mad_range,,,-45.0,194.2206,mad
25_musk,2106,53,continuous,300,-87.0,309.0,mad_range,,,49.0,42.9954,mad
25_musk,2106,54,continuous,229,-54.0,264.0,mad_range,,,107.5,82.2843,mad
25_musk,2106,55,continuous,333,-228.0,214.0,mad_range,,,-60.0,40.0302,mad
25_musk,2106,56,continuous,271,-170.0,229.0,mad_range,,,-17.0,174.9468,mad
25_musk,2106,57,continuous,242,-177.0,86.0,mad_range,,,-136.5,60.0453,mad
25_musk,2106,58,continuous,235,-137.0,200.0,mad_range,,,50.0,62.2692,mad
25_musk,2106,59,continuous,341,-205.0,199.0,mad_range,,,-35.5,138.6231,mad
25_musk,2106,60,continuous,170,-101.0,197.0,mad_range,,,-54.0,69.6822,mad
25_musk,2106,61,continuous,137,-195.0,85.0,mad_range,,,22.0,90.4386,mad
25_musk,2106,62,continuous,68,-54.0,29.0,mad_range,,,-30.0,26.686799999999998,mad
25_musk,2106,63,continuous,332,-195.0,225.0,mad_range,,,-68.0,177.91199999999998,mad
25_musk,2106,64,continuous,194,-159.0,110.0,mad_range,,,-46.0,118.60799999999999,mad
25_musk,2106,65,continuous,48,53.0,110.0,mad_range,,,59.0,5.9304,mad
25_musk,2106,66,continuous,91,-167.0,36.0,mad_range,,,-166.0,0.0,mad
25_musk,2106,67,continuous,228,-146.0,149.0,mad_range,,,-23.0,40.0302,mad
25_musk,2106,68,continuous,203,-133.0,150.0,mad_range,,,39.0,77.09519999999999,mad
25_musk,2106,69,continuous,221,-151.0,158.0,mad_range,,,4.0,75.6126,mad
25_musk,2106,70,continuous,175,-171.0,67.0,mad_range,,,-73.0,109.71239999999999,mad
25_musk,2106,71,continuous,139,-150.0,90.0,mad_range,,,-84.5,91.17989999999999,mad
25_musk,2106,72,continuous,235,-126.0,180.0,mad_range,,,-61.0,32.6172,mad
25_musk,2106,73,continuous,213,-124.0,125.0,mad_range,,,-64.0,31.875899999999998,mad
25_musk,2106,74,continuous,244,-108.0,203.0,mad_range,,,-47.0,32.6172,mad
25_musk,2106,75,continuous,92,-189.0,-60.0,mad_range,,,-179.0,5.9304,mad
25_musk,2106,76,continuous,292,-259.0,156.0,mad_range,,,-116.0,182.35979999999998,mad
25_musk,2106,77,continuous,216,-130.0,113.0,mad_range,,,-33.0,28.1694,mad
25_musk,2106,78,continuous,211,-107.0,180.0,mad_range,,,-36.0,53.373599999999996,mad
25_musk,2106,79,continuous,214,-14.0,236.0,mad_range,,,58.0,28.1694,mad
25_musk,2106,80,continuous,339,-242.0,198.0,mad_range,,,-58.0,123.05579999999999,mad
25_musk,2106,81,continuous,220,-175.0,201.0,mad_range,,,-43.5,181.61849999999998,mad
25_musk,2106,82,continuous,272,-194.0,175.0,mad_range,,,-66.0,45.9606,mad
25_musk,2106,83,continuous,287,-95.0,273.0,mad_range,,,125.0,74.13,mad
25_musk,2106,84,continuous,287,-196.0,186.0,mad_range,,,-35.5,172.72289999999998,mad
25_musk,2106,85,continuous,273,-203.0,193.0,mad_range,,,-72.0,171.9816,mad
25_musk,2106,86,continuous,254,-196.0,108.0,mad_range,,,-58.0,121.5732,mad
25_musk,2106,87,continuous,301,-195.0,158.0,mad_range,,,-123.0,74.13,mad
25_musk,2106,88,continuous,231,-106.0,151.0,mad_range,,,21.0,97.85159999999999,mad
25_musk,2106,89,continuous,307,-154.0,269.0,mad_range,,,34.0,188.2902,mad
25_musk,2106,90,continuous,206,-202.0,59.0,mad_range,,,-68.0,149.74259999999998,mad
25_musk,2106,91,continuous,69,18.0,141.0,mad_range,,,61.0,56.3388,mad
25_musk,2106,92,continuous,106,-123.0,146.0,mad_range,,,10.0,164.5686,mad
25_musk,2106,93,continuous,274,-212.0,182.0,mad_range,,,-108.0,34.099799999999995,mad
25_musk,2106,94,continuous,85,-78.0,42.0,mad_range,,,-23.0,23.7216,mad
25_musk,2106,95,continuous,140,-58.0,235.0,mad_range,,,163.0,103.782,mad
25_musk,2106,96,continuous,299,-189.0,165.0,mad_range,,,-18.0,158.63819999999998,mad
25_musk,2106,97,continuous,287,-190.0,194.0,mad_range,,,-62.5,172.72289999999998,mad
25_musk,2106,98,continuous,134,-156.0,33.0,mad_range,,,-76.0,103.782,mad
25_musk,2106,99,continuous,253,-152.0,231.0,mad_range,,,16.0,148.26,mad
25_musk,2106,100,continuous,194,-208.0,90.0,mad_range,,,-106.0,120.0906,mad
25_musk,2106,101,continuous,91,21.0,144.0,mad_range,,,82.0,62.2692,mad
25_musk,2106,102,continuous,220,-124.0,173.0,mad_range,,,-54.5,31.875899999999998,mad
25_musk,2106,103,continuous,206,-130.0,120.0,mad_range,,,-58.0,28.1694,mad
25_musk,2106,104,continuous,142,-118.0,73.0,mad_range,,,-90.0,14.825999999999999,mad
25_musk,2106,105,continuous,247,-171.0,134.0,mad_range,,,-56.0,45.9606,mad
25_musk,2106,106,continuous,284,-194.0,142.0,mad_range,,,-164.0,25.2042,mad
25_musk,2106,107,continuous,340,-276.0,167.0,mad_range,,,-102.5,108.97109999999999,mad
25_musk,2106,108,continuous,203,-105.0,195.0,mad_range,,,-21.0,44.477999999999994,mad
25_musk,2106,109,continuous,151,-126.0,38.0,mad_range,,,-93.5,12.6021,mad
25_musk,2106,110,continuous,158,-68.0,120.0,mad_range,,,-42.5,15.5673,mad
25_musk,2106,111,continuous,318,-222.0,214.0,mad_range,,,-33.0,126.02099999999999,mad
25_musk,2106,112,continuous,284,-218.0,194.0,mad_range,,,-17.5,171.2403,mad
25_musk,2106,113,continuous,266,-202.0,180.0,mad_range,,,-22.0,213.49439999999998,mad
25_musk,2106,114,continuous,319,-198.0,216.0,mad_range,,,-14.0,154.19039999999998,mad
25_musk,2106,115,continuous,320,-158.0,253.0,mad_range,,,-17.0,54.856199999999994,mad
25_musk,2106,116,continuous,271,-102.0,315.0,mad_range,,,19.0,169.0164,mad
25_musk,2106,117,continuous,326,-211.0,143.0,mad_range,,,-82.0,167.53379999999999,mad
25_musk,2106,118,continuous,293,-194.0,209.0,mad_range,,,-58.5,186.06629999999998,mad
25_musk,2106,119,continuous,296,-199.0,152.0,mad_range,,,-3.0,155.673,mad
25_musk,2106,120,continuous,233,-120.0,263.0,mad_range,,,-26.0,136.39919999999998,mad
25_musk,2106,121,continuous,217,-69.0,244.0,mad_range,,,90.0,69.6822,mad
25_musk,2106,122,continuous,274,-106.0,249.0,mad_range,,,100.0,84.5082,mad
25_musk,2106,123,continuous,155,-107.0,106.0,mad_range,,,31.0,48.925799999999995,mad
25_musk,2106,124,continuous,158,-137.0,148.0,mad_range,,,53.0,117.1254,mad
25_musk,2106,125,continuous,76,6.0,96.0,mad_range,,,63.0,10.3782,mad
25_musk,2106,126,continuous,359,-212.0,219.0,mad_range,,,-49.0,80.0604,mad
25_musk,2106,127,continuous,351,-212.0,241.0,mad_range,,,-55.0,191.25539999999998,mad
25_musk,2106,128,continuous,320,-215.0,205.0,mad_range,,,-70.0,54.856199999999994,mad
25_musk,2106,129,continuous,167,-188.0,115.0,mad_range,,,-52.0,182.35979999999998,mad
25_musk,2106,130,continuous,97,-90.0,101.0,mad_range,,,24.0,26.686799999999998,mad
25_musk,2106,131,continuous,210,-122.0,137.0,mad_range,,,4.0,91.9212,mad
25_musk,2106,132,continuous,338,-242.0,176.0,mad_range,,,-85.0,34.099799999999995,mad
25_musk,2106,133,continuous,265,-158.0,168.0,mad_range,,,-71.0,32.6172,mad
25_musk,2106,134,continuous,225,-129.0,132.0,mad_range,,,-46.0,31.1346,mad
25_musk,2106,135,continuous,208,-163.0,125.0,mad_range,,,-25.0,93.40379999999999,mad
25_musk,2106,136,continuous,284,-180.0,178.0,mad_range,,,31.0,123.05579999999999,mad
25_musk,2106,137,continuous,253,-183.0,130.0,mad_range,,,-33.0,103.782,mad
25_musk,2106,138,continuous,338,-233.0,202.0,mad_range,,,-52.0,139.3644,mad
25_musk,2106,139,continuous,336,-216.0,203.0,mad_range,,,-54.0,34.099799999999995,mad
25_musk,2106,140,continuous,304,-201.0,188.0,mad_range,,,-64.0,41.5128,mad
25_musk,2106,141,continuous,223,-141.0,181.0,mad_range,,,15.0,93.40379999999999,mad
25_musk,2106,142,continuous,257,-155.0,211.0,mad_range,,,-13.0,153.4491,mad
25_musk,2106,143,continuous,239,-171.0,189.0,mad_range,,,4.0,170.499,mad
25_musk,2106,144,continuous,57,-178.0,-114.0,mad_range,,,-178.0,0.0,mad
25_musk,2106,145,continuous,152,-105.0,165.0,mad_range,,,-103.0,1.4826,mad
25_musk,2106,146,continuous,114,-131.0,102.0,mad_range,,,-118.0,7.412999999999999,mad
25_musk,2106,147,continuous,244,-167.0,130.0,mad_range,,,0.0,87.4734,mad
25_musk,2106,148,continuous,243,-189.0,117.0,mad_range,,,-34.0,99.3342,mad
25_musk,2106,149,continuous,258,-145.0,185.0,mad_range,,,30.0,80.0604,mad
25_musk,2106,150,continuous,85,-128.0,98.0,mad_range,,,-47.0,77.09519999999999,mad
25_musk,2106,151,continuous,124,-128.0,73.0,mad_range,,,-39.0,118.60799999999999,mad
25_musk,2106,152,continuous,90,-113.0,92.0,mad_range,,,-21.0,126.02099999999999,mad
25_musk,2106,153,continuous,169,-171.0,90.0,mad_range,,,-49.5,85.2495,mad
25_musk,2106,154,continuous,145,-133.0,127.0,mad_range,,,0.0,148.26,mad
25_musk,2106,155,continuous,137,-198.0,80.0,mad_range,,,-14.0,68.19959999999999,mad
25_musk,2106,156,continuous,212,-254.0,145.0,mad_range,,,-234.0,8.8956,mad
25_musk,2106,157,continuous,360,-314.0,94.0,mad_range,,,-225.0,81.54299999999999,mad
25_musk,2106,158,continuous,331,-217.0,179.0,mad_range,,,-155.0,83.0256,mad
25_musk,2106,159,continuous,154,-134.0,84.0,mad_range,,,-25.0,40.0302,mad
25_musk,2106,160,continuous,197,-119.0,154.0,mad_range,,,62.0,120.0906,mad
25_musk,2106,161,continuous,107,-6.0,129.0,mad_range,,,101.0,28.1694,mad
25_musk,2106,162,continuous,127,158.0,315.0,mad_range,,,202.0,29.651999999999997,mad
25_musk,2106,163,continuous,31,-73.0,-37.0,mad_range,,,-66.0,10.3782,mad
25_musk,2106,164,continuous,129,-308.0,-114.0,mad_range,,,-163.0,37.065,mad
25_musk,2106,165,continuous,84,-29.0,154.0,mad_range,,,4.0,37.065,mad
