dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,median,scaled_mad,param_strategy
30_satellite,3058,0,continuous,45,46.0,104.0,mad_range,,,70.0,10.3782,mad
30_satellite,3058,1,continuous,68,37.0,137.0,mad_range,,,94.0,20.7564,mad
30_satellite,3058,2,continuous,66,62.0,139.0,mad_range,,,102.0,19.273799999999998,mad
30_satellite,3058,3,continuous,56,51.0,133.0,mad_range,,,83.0,13.343399999999999,mad
30_satellite,3058,4,continuous,45,46.0,104.0,mad_range,,,70.0,10.3782,mad
30_satellite,3058,5,continuous,63,43.0,128.0,mad_range,,,94.0,20.7564,mad
30_satellite,3058,6,continuous,66,64.0,139.0,mad_range,,,102.0,19.273799999999998,mad
30_satellite,3058,7,continuous,57,49.0,122.0,mad_range,,,83.0,13.343399999999999,mad
30_satellite,3058,8,continuous,44,46.0,104.0,mad_range,,,70.0,10.3782,mad
30_satellite,3058,9,continuous,67,34.0,130.0,mad_range,,,94.0,20.7564,mad
30_satellite,3058,10,continuous,66,60.0,136.0,mad_range,,,102.0,17.7912,mad
30_satellite,3058,11,continuous,64,34.0,137.0,mad_range,,,83.0,13.343399999999999,mad
30_satellite,3058,12,continuous,45,46.0,104.0,mad_range,,,70.0,10.3782,mad
30_satellite,3058,13,continuous,59,53.0,131.0,mad_range,,,94.0,22.238999999999997,mad
30_satellite,3058,14,continuous,66,64.0,139.0,mad_range,,,102.0,19.273799999999998,mad
30_satellite,3058,15,continuous,55,48.0,109.0,mad_range,,,83.0,14.825999999999999,mad
30_satellite,3058,16,continuous,43,46.0,101.0,mad_range,,,70.0,10.3782,mad
30_satellite,3058,17,continuous,53,60.0,128.0,mad_range,,,95.0,20.7564,mad
30_satellite,3058,18,continuous,64,64.0,136.0,mad_range,,,102.0,19.273799999999998,mad
30_satellite,3058,19,continuous,53,48.0,109.0,mad_range,,,83.0,14.825999999999999,mad
30_satellite,3058,20,continuous,43,46.0,101.0,mad_range,,,70.0,10.3782,mad
30_satellite,3058,21,continuous,59,40.0,130.0,mad_range,,,94.0,20.7564,mad
30_satellite,3058,22,continuous,66,62.0,136.0,mad_range,,,102.0,19.273799999999998,mad
30_satellite,3058,23,continuous,56,41.0,122.0,mad_range,,,83.0,14.825999999999999,mad
30_satellite,3058,24,continuous,45,44.0,102.0,mad_range,,,70.0,10.3782,mad
30_satellite,3058,25,continuous,69,32.0,131.0,mad_range,,,92.0,20.7564,mad
30_satellite,3058,26,continuous,67,62.0,139.0,mad_range,,,102.0,19.273799999999998,mad
30_satellite,3058,27,continuous,61,44.0,133.0,mad_range,,,83.0,14.825999999999999,mad
30_satellite,3058,28,continuous,45,44.0,104.0,mad_range,,,70.0,10.3782,mad
30_satellite,3058,29,continuous,65,37.0,130.0,mad_range,,,94.0,20.7564,mad
30_satellite,3058,30,continuous,65,64.0,139.0,mad_range,,,102.0,19.273799999999998,mad
30_satellite,3058,31,continuous,54,48.0,114.0,mad_range,,,83.0,14.825999999999999,mad
30_satellite,3058,32,continuous,44,46.0,104.0,mad_range,,,68.0,10.3782,mad
30_satellite,3058,33,continuous,61,40.0,130.0,mad_range,,,94.0,20.7564,mad
30_satellite,3058,34,continuous,67,60.0,136.0,mad_range,,,102.0,19.273799999999998,mad
30_satellite,3058,35,continuous,59,34.0,122.0,mad_range,,,83.0,14.825999999999999,mad
