dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,median,scaled_mad,param_strategy
35_SpamBase,1741,0,continuous,109,0.0,4.34,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,1,continuous,98,0.0,9.52,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,2,continuous,169,0.0,4.54,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,3,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
35_SpamBase,1741,4,continuous,167,0.0,10.0,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,5,continuous,85,0.0,5.88,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,6,continuous,23,0.0,3.07,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,7,continuous,71,0.0,5.88,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,8,continuous,81,0.0,3.23,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,9,continuous,162,0.0,11.11,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,10,continuous,48,0.0,2.0,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,11,continuous,265,0.0,7.69,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,12,continuous,104,0.0,5.55,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,13,continuous,55,0.0,10.0,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,14,continuous,26,0.0,1.7,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,15,continuous,98,0.0,20.0,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,16,continuous,87,0.0,3.57,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,17,continuous,123,0.0,7.69,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,18,continuous,408,0.0,18.75,mad_range,,,0.77,1.141602,mad
35_SpamBase,1741,19,continuous,31,0.0,2.7,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,20,continuous,245,0.0,10.71,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,21,continuous,18,0.0,11.42,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,22,continuous,31,0.0,1.25,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,23,continuous,28,0.0,9.09,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,24,continuous,330,0.0,20.83,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,25,continuous,237,0.0,16.66,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,26,categorical_low_card,17,0.0,25.0,minmax,0.0,25.0,,,fallback
35_SpamBase,1741,27,continuous,163,0.0,5.88,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,28,continuous,132,0.0,14.28,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,29,categorical_low_card,7,0.0,6.0,minmax,0.0,6.0,,,fallback
35_SpamBase,1741,30,continuous,109,0.0,12.5,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,31,categorical_low_card,6,0.0,5.0,minmax,0.0,5.0,,,fallback
35_SpamBase,1741,32,continuous,127,0.0,18.18,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,33,continuous,85,0.0,4.76,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,34,continuous,147,0.0,5.88,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,35,continuous,134,0.0,7.69,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,36,continuous,171,0.0,6.89,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,37,continuous,29,0.0,7.4,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,38,categorical_low_card,7,0.0,9.0,minmax,0.0,9.0,,,fallback
35_SpamBase,1741,39,continuous,95,0.0,4.76,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,40,categorical_low_card,7,0.0,6.0,minmax,0.0,6.0,,,fallback
35_SpamBase,1741,41,continuous,144,0.0,14.28,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,42,continuous,116,0.0,3.57,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,43,continuous,120,0.0,16.66,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,44,continuous,199,0.0,14.28,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,45,continuous,184,0.0,16.7,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,46,categorical_low_card,3,0.0,2.0,minmax,0.0,2.0,,,fallback
35_SpamBase,1741,47,continuous,89,0.0,10.0,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,48,continuous,220,0.0,4.385,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,49,continuous,490,0.0,2.941,mad_range,,,0.087,0.1289862,mad
35_SpamBase,1741,50,continuous,169,0.0,2.777,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,51,continuous,328,0.0,32.478,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,52,continuous,131,0.0,2.038,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,53,continuous,125,0.0,7.407,mad_range,,,0.0,0.0,mad
35_SpamBase,1741,54,continuous,987,1.0,251.0,mad_range,,,1.902,0.8139473999999999,mad
35_SpamBase,1741,55,continuous,110,1.0,1488.0,mad_range,,,11.0,10.3782,mad
35_SpamBase,1741,56,continuous,460,1.0,5902.0,mad_range,,,63.0,69.6822,mad
