dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,median,scaled_mad,param_strategy
36_speech,2580,0,continuous,2558,-3.4692,3.3565,mad_range,,,-0.18129,0.8997306359999999,mad
36_speech,2580,1,continuous,2563,-3.7198,3.5174,mad_range,,,0.10246,0.8896341299999999,mad
36_speech,2580,2,continuous,2554,-3.8751,3.3166,mad_range,,,0.22597499999999998,0.945424368,mad
36_speech,2580,3,continuous,2560,-3.2182,3.4006,mad_range,,,0.21171,0.876009036,mad
36_speech,2580,4,continuous,2562,-2.898,3.2251,mad_range,,,-0.14354,0.8581066409999998,mad
36_speech,2580,5,continuous,2556,-3.5998,3.8626,mad_range,,,-0.0845275,0.9453835964999999,mad
36_speech,2580,6,continuous,2563,-3.128,3.5612,mad_range,,,-0.125435,0.9170325779999999,mad
36_speech,2580,7,continuous,2565,-3.1846,3.2922,mad_range,,,0.0330055,0.9031776810000001,mad
36_speech,2580,8,continuous,2564,-3.1913,4.1821,mad_range,,,0.24864,0.8905829940000001,mad
36_speech,2580,9,continuous,2554,-3.6444,2.9712,mad_range,,,-0.0116265,0.9108108471,mad
36_speech,2580,10,continuous,2557,-3.5009,2.7049,mad_range,,,-0.27398,0.895305075,mad
36_speech,2580,11,continuous,2557,-3.7212,3.6133,mad_range,,,0.10705,0.8983518180000001,mad
36_speech,2580,12,continuous,2564,-3.4859,2.9845,mad_range,,,-0.0121705,0.8599079999999999,mad
36_speech,2580,13,continuous,2560,-3.2508,3.2232,mad_range,,,0.016163,0.8925133391999998,mad
36_speech,2580,14,continuous,2561,-2.9589,4.5404,mad_range,,,0.07229,0.9015319949999998,mad
36_speech,2580,15,continuous,2563,-3.8117,3.686,mad_range,,,-0.212955,0.905601732,mad
36_speech,2580,16,continuous,2552,-3.6405,2.4023,mad_range,,,-0.36197999999999997,0.8708644139999999,mad
36_speech,2580,17,continuous,2553,-2.6179,4.3422,mad_range,,,0.101795,0.860493627,mad
36_speech,2580,18,continuous,2558,-4.2486,3.7223,mad_range,,,0.046228,0.908129565,mad
36_speech,2580,19,continuous,2569,-3.2256,2.5853,mad_range,,,-0.136685,0.858492117,mad
36_speech,2580,20,continuous,2552,-3.8473,3.2325,mad_range,,,-0.28681500000000004,0.923578257,mad
36_speech,2580,21,continuous,2564,-3.1836,3.4515,mad_range,,,-0.007057,0.8782522098,mad
36_speech,2580,22,continuous,2555,-2.6499,3.3264,mad_range,,,0.252945,0.8764167509999999,mad
36_speech,2580,23,continuous,2559,-3.4391,2.7416,mad_range,,,0.094831,0.8961190224000001,mad
36_speech,2580,24,continuous,2560,-3.3314,3.5558,mad_range,,,0.0186625,0.9028959869999998,mad
36_speech,2580,25,continuous,2556,-3.6342,3.3391,mad_range,,,-0.05652649999999999,0.8871433620000001,mad
36_speech,2580,26,continuous,2551,-3.1417,3.8832,mad_range,,,0.08412249999999999,0.9081629234999999,mad
36_speech,2580,27,continuous,2556,-4.0276,2.8755,mad_range,,,-0.15356,0.8888186999999999,mad
36_speech,2580,28,continuous,2560,-3.8158,3.2372,mad_range,,,-0.136995,0.8883590939999999,mad
36_speech,2580,29,continuous,2564,-3.0543,3.4784,mad_range,,,0.11518,0.901858167,mad
36_speech,2580,30,continuous,2556,-5.3168,2.5425,mad_range,,,-0.218265,0.8859943469999999,mad
36_speech,2580,31,continuous,2561,-2.5639,3.4444,mad_range,,,0.12001,0.903674352,mad
36_speech,2580,32,continuous,2563,-3.4014,3.9491,mad_range,,,0.044123,0.8611904489999999,mad
36_speech,2580,33,continuous,2561,-4.4202,3.1863,mad_range,,,-0.038806,0.9164158164,mad
36_speech,2580,34,continuous,2564,-3.083,4.3488,mad_range,,,-0.026259499999999998,0.9177071609999999,mad
36_speech,2580,35,continuous,2557,-3.3625,2.7411,mad_range,,,-0.288155,0.9097381860000001,mad
36_speech,2580,36,continuous,2561,-2.8673,3.2495,mad_range,,,0.0570455,0.8687813609999999,mad
36_speech,2580,37,continuous,2554,-3.0871,3.2153,mad_range,,,0.17416500000000001,0.9151941539999998,mad
36_speech,2580,38,continuous,2558,-3.5393,3.041,mad_range,,,0.15718500000000002,0.9341121299999999,mad
36_speech,2580,39,continuous,2557,-2.9107,3.1623,mad_range,,,0.276545,0.8730364229999998,mad
36_speech,2580,40,continuous,2547,-2.925,3.6166,mad_range,,,0.12659,0.9173958149999999,mad
36_speech,2580,41,continuous,2558,-3.2754,4.117,mad_range,,,-0.083134,0.8663039363999999,mad
36_speech,2580,42,continuous,2556,-4.9086,3.0981,mad_range,,,-0.090126,0.8454837846,mad
36_speech,2580,43,continuous,2566,-3.7106,3.575,mad_range,,,-0.065355,1.0294729619999998,mad
36_speech,2580,44,continuous,2560,-3.1456,2.977,mad_range,,,-0.0515825,0.880909029,mad
36_speech,2580,45,continuous,2563,-3.2232,2.8619,mad_range,,,-0.076127,0.8185212209999999,mad
36_speech,2580,46,continuous,2564,-3.3096,3.4762,mad_range,,,0.15591,0.891961812,mad
36_speech,2580,47,continuous,2562,-3.443,3.3127,mad_range,,,-0.018806499999999997,0.8754404588999998,mad
36_speech,2580,48,continuous,2547,-3.4868,3.2789,mad_range,,,-0.28424,0.893133066,mad
36_speech,2580,49,continuous,2563,-3.2243,3.1333,mad_range,,,-0.025440499999999998,0.9023540966999999,mad
