dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,median,scaled_mad,param_strategy
40_vowels,1001,0,continuous,1000,-2.867307881616238,2.471602142606195,mad_range,,,-0.0392034424493,1.0235925075063923,mad
40_vowels,1001,1,continuous,1001,-2.698542590071115,2.295132093370149,mad_range,,,-0.080966896829339,1.1906126829113306,mad
40_vowels,1001,2,continuous,999,-2.139163380270136,2.059834003877817,mad_range,,,0.07200458840574,1.2351482100923437,mad
40_vowels,1001,3,continuous,1000,-2.181580526276978,2.911436618789931,mad_range,,,-0.025646024455688,1.2026370092229002,mad
40_vowels,1001,4,continuous,1000,-3.135491868059729,2.365124732836057,mad_range,,,0.064348905521873,1.054399167961473,mad
40_vowels,1001,5,continuous,1001,-3.172655842228439,2.725823307968158,mad_range,,,0.043223410811009,0.9895880073849197,mad
40_vowels,1001,6,continuous,999,-3.042617284091377,3.560905006332191,mad_range,,,-0.103605192784733,0.8237407006249156,mad
40_vowels,1001,7,continuous,1001,-2.323022819632606,3.222746990182553,mad_range,,,-0.067853710952979,1.0298998890932465,mad
40_vowels,1001,8,continuous,1000,-1.652188290725242,2.537665999601121,mad_range,,,-0.122394670724764,1.3067979074345457,mad
40_vowels,1001,9,continuous,1001,-2.678593102058505,3.432735209106242,mad_range,,,-0.03818052364731,0.9415381602469937,mad
40_vowels,1001,10,continuous,1001,-3.35614493691685,2.361587096090943,mad_range,,,0.131283020074232,0.9292628000922972,mad
40_vowels,1001,11,continuous,999,-3.175047709543373,3.209296745444923,mad_range,,,0.085991648967088,0.9363930995709617,mad
