dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,median,scaled_mad,param_strategy
41_Waveform,2336,0,continuous,461,-2.95,3.94,mad_range,,,0.04,1.008168,mad
41_Waveform,2336,1,continuous,477,-3.25,3.5,mad_range,,,0.26,1.067472,mad
41_Waveform,2336,2,continuous,518,-4.2,4.35,mad_range,,,0.415,1.149015,mad
41_Waveform,2336,3,continuous,602,-3.84,5.75,mad_range,,,0.6,1.452948,mad
41_Waveform,2336,4,continuous,668,-3.48,6.5,mad_range,,,0.61,1.541904,mad
41_Waveform,2336,5,continuous,694,-2.76,7.0,mad_range,,,1.45,1.9125539999999999,mad
41_Waveform,2336,6,continuous,763,-3.32,8.76,mad_range,,,2.25,2.194248,mad
41_Waveform,2336,7,continuous,698,-2.95,7.84,mad_range,,,2.78,1.8680760000000003,mad
41_Waveform,2336,8,continuous,664,-2.37,7.9,mad_range,,,3.18,1.660512,mad
41_Waveform,2336,9,continuous,609,-1.77,7.63,mad_range,,,3.535,1.4307089999999998,mad
41_Waveform,2336,10,continuous,629,-1.03,9.06,mad_range,,,3.99,1.616034,mad
41_Waveform,2336,11,continuous,615,-1.61,7.4,mad_range,,,3.58,1.4381219999999995,mad
41_Waveform,2336,12,continuous,654,-2.2,7.5,mad_range,,,3.27,1.5863819999999997,mad
41_Waveform,2336,13,continuous,702,-2.37,7.75,mad_range,,,2.86,1.8977279999999996,mad
41_Waveform,2336,14,continuous,758,-2.48,8.04,mad_range,,,2.31,2.120118,mad
41_Waveform,2336,15,continuous,703,-2.99,7.55,mad_range,,,1.56,1.8680759999999998,mad
41_Waveform,2336,16,continuous,663,-3.56,6.71,mad_range,,,0.77,1.63086,mad
41_Waveform,2336,17,continuous,594,-3.19,5.56,mad_range,,,0.65,1.438122,mad
41_Waveform,2336,18,continuous,523,-3.5,4.54,mad_range,,,0.47,1.2305579999999998,mad
41_Waveform,2336,19,continuous,474,-3.25,3.61,mad_range,,,0.26,1.052646,mad
41_Waveform,2336,20,continuous,454,-3.46,3.32,mad_range,,,-0.02,0.9785159999999999,mad
