dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,median,scaled_mad,param_strategy
43_WDBC,259,0,continuous,219,6.981,17.85,mad_range,,,12.18,1.6308599999999993,mad
43_WDBC,259,1,continuous,240,10.72,33.81,mad_range,,,17.3,3.647196000000001,mad
43_WDBC,259,2,continuous,250,43.79,114.6,mad_range,,,78.04,10.74885,mad
43_WDBC,259,3,continuous,251,143.5,992.1,mad_range,,,458.4,125.27969999999999,mad
43_WDBC,259,4,continuous,249,0.05263,0.1634,mad_range,,,0.09136,0.012646578000000014,mad
43_WDBC,259,5,continuous,256,0.01938,0.2239,mad_range,,,0.07325,0.030200561999999997,mad
43_WDBC,259,6,continuous,249,0.0,0.4108,mad_range,,,0.03609,0.026864711999999995,mad
43_WDBC,259,7,continuous,248,0.0,0.07857,mad_range,,,0.02344,0.012913445999999999,mad
43_WDBC,259,8,continuous,223,0.1167,0.2595,mad_range,,,0.1709,0.020608139999999994,mad
43_WDBC,259,9,continuous,241,0.05185,0.09575,mad_range,,,0.0614,0.005589402000000004,mad
43_WDBC,259,10,continuous,244,0.1115,0.8811,mad_range,,,0.2574,0.0993342,mad
43_WDBC,259,11,continuous,249,0.3602,4.885,mad_range,,,1.095,0.511497,mad
43_WDBC,259,12,continuous,244,0.757,5.118,mad_range,,,1.865,0.6879264000000003,mad
43_WDBC,259,13,continuous,241,7.228,77.11,mad_range,,,19.88,7.027524000000002,mad
43_WDBC,259,14,continuous,252,0.001713,0.02177,mad_range,,,0.006472,0.002370677400000001,mad
43_WDBC,259,15,continuous,248,0.002252,0.1064,mad_range,,,0.01569,0.008940078,mad
43_WDBC,259,16,continuous,246,0.0,0.396,mad_range,,,0.01841,0.013361191199999999,mad
43_WDBC,259,17,continuous,243,0.0,0.05279,mad_range,,,0.009046,0.0039244422,mad
43_WDBC,259,18,continuous,244,0.009539,0.04243,mad_range,,,0.01879,0.005796966,mad
43_WDBC,259,19,continuous,256,0.0008948,0.02984,mad_range,,,0.002713,0.0012987576,mad
43_WDBC,259,20,continuous,213,7.93,19.82,mad_range,,,13.35,1.8829019999999992,mad
43_WDBC,259,21,continuous,250,12.49,41.78,mad_range,,,22.75,5.1891,mad
43_WDBC,259,22,continuous,247,50.41,127.1,mad_range,,,86.65,13.091357999999996,mad
43_WDBC,259,23,continuous,252,185.2,1210.0,mad_range,,,546.7,156.41430000000008,mad
43_WDBC,259,24,continuous,217,0.07117,0.2006,mad_range,,,0.1235,0.01971857999999999,mad
43_WDBC,259,25,continuous,247,0.02729,0.5849,mad_range,,,0.165,0.08613905999999998,mad
43_WDBC,259,26,continuous,249,0.0,1.252,mad_range,,,0.1434,0.100979886,mad
43_WDBC,259,27,continuous,232,0.0,0.175,mad_range,,,0.07283,0.032305854,mad
43_WDBC,259,28,continuous,238,0.1712,0.4228,mad_range,,,0.2681,0.04210583999999997,mad
43_WDBC,259,29,continuous,255,0.05521,0.1486,mad_range,,,0.07617,0.010407851999999997,mad
