dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,median,scaled_mad,param_strategy
6_cardio,1127,0,continuous,47,-2.746330647550977,2.967789350890879,mad_range,,,0.004912314661768,1.0981903734783187,mad
6_cardio,1127,1,continuous,687,-0.91998843744384,3.956212395171415,mad_range,,,-0.148271723978858,1.1441471993831822,mad
6_cardio,1127,2,continuous,366,-0.203640485666361,9.929344871973717,mad_range,,,-0.203640485666361,0.0,mad
6_cardio,1127,3,continuous,830,-1.635871141309735,3.584122058391825,mad_range,,,0.056963071773487,1.0145802165308686,mad
6_cardio,1127,4,continuous,444,-0.683598474400773,4.316910153120069,mad_range,,,-0.683598474400773,0.0,mad
6_cardio,1127,5,continuous,2,-0.061400644495402,13.074629213397005,mad_range,,,-0.061400644495402,0.0,mad
6_cardio,1127,6,continuous,48,-0.278294946006147,4.365599411432297,mad_range,,,-0.278294946006147,0.0,mad
6_cardio,1127,7,continuous,70,-1.949571744596599,2.298036292698139,mad_range,,,-0.214633250490297,1.2417612882437246,mad
6_cardio,1127,8,continuous,51,-1.441358488528391,6.433868064468475,mad_range,,,-0.167424781425956,0.6868124051454803,mad
6_cardio,1127,9,continuous,61,-0.420487347915062,4.123053507733356,mad_range,,,-0.420487347915062,0.0,mad
6_cardio,1127,10,continuous,227,-1.398087924648133,5.716903416865029,mad_range,,,-0.053388604122918,0.8580271041615596,mad
6_cardio,1127,11,continuous,144,-1.691189996014992,2.70388537018061,mad_range,,,-0.049655823098562,1.138361586745341,mad
6_cardio,1127,12,continuous,101,-1.439841365194317,2.302037323948854,mad_range,,,-0.050000709226854,1.2680478501768375,mad
6_cardio,1127,13,continuous,84,-2.325378561577513,4.05478349294656,mad_range,,,-0.070321283685384,0.8969957834690633,mad
6_cardio,1127,14,continuous,17,-1.441407750185039,4.750708598954497,mad_range,,,-0.065381894820698,1.0200479665815851,mad
6_cardio,1127,15,continuous,5,-0.488278885185423,5.31716682114256,mad_range,,,-0.488278885185423,0.0,mad
6_cardio,1127,16,continuous,69,-2.463852159953684,3.066780855990535,mad_range,,,0.181233195497899,0.8021461802711963,mad
6_cardio,1127,17,continuous,72,-2.871594747268565,3.002429276615882,mad_range,,,0.129265351889794,0.946611741066422,mad
6_cardio,1127,18,continuous,72,-2.182355956472138,3.197089891599763,mad_range,,,0.162530695251511,0.9202576631943917,mad
6_cardio,1127,19,continuous,99,-0.690589747523018,5.221269291662685,mad_range,,,-0.389986745530525,0.34663534169760984,mad
6_cardio,1127,20,continuous,3,-2.126605466808859,1.140017527928574,mad_range,,,-0.493293969440142,0.0,mad
