dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,median,scaled_mad,param_strategy
7_Cardiotocography,1162,0,continuous,48,106.0,160.0,mad_range,,,132.0,10.3782,mad
7_Cardiotocography,1162,1,continuous,21,0.0,26.0,mad_range,,,2.0,2.9652,mad
7_Cardiotocography,1162,2,continuous,67,0.0,317.0,mad_range,,,0.0,0.0,mad
7_Cardiotocography,1162,3,categorical_low_card,16,0.0,15.0,minmax,0.0,15.0,,,fallback
7_Cardiotocography,1162,4,continuous,71,12.0,83.0,mad_range,,,41.0,20.7564,mad
7_Cardiotocography,1162,5,continuous,51,0.2,7.0,mad_range,,,1.3,0.7413,mad
7_Cardiotocography,1162,6,continuous,63,0.0,73.0,mad_range,,,0.0,0.0,mad
7_Cardiotocography,1162,7,continuous,227,0.0,50.7,mad_range,,,8.0,4.89258,mad
7_Cardiotocography,1162,8,categorical_low_card,14,0.0,14.0,minmax,0.0,14.0,,,fallback
7_Cardiotocography,1162,9,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
7_Cardiotocography,1162,10,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
7_Cardiotocography,1162,11,continuous,145,10.0,176.0,mad_range,,,70.0,42.9954,mad
7_Cardiotocography,1162,12,continuous,103,50.0,159.0,mad_range,,,91.0,35.5824,mad
7_Cardiotocography,1162,13,continuous,83,122.0,238.0,mad_range,,,163.0,16.3086,mad
7_Cardiotocography,1162,14,categorical_low_card,17,0.0,16.0,minmax,0.0,16.0,,,fallback
7_Cardiotocography,1162,15,categorical_low_card,7,0.0,10.0,minmax,0.0,10.0,,,fallback
7_Cardiotocography,1162,16,continuous,69,86.0,187.0,mad_range,,,139.0,13.343399999999999,mad
7_Cardiotocography,1162,17,continuous,68,90.0,180.0,mad_range,,,135.0,13.343399999999999,mad
7_Cardiotocography,1162,18,continuous,68,105.0,183.0,mad_range,,,139.0,13.343399999999999,mad
7_Cardiotocography,1162,19,continuous,103,0.0,177.0,mad_range,,,9.0,10.3782,mad
7_Cardiotocography,1162,20,categorical_low_card,3,-1.0,1.0,minmax,-1.0,1.0,,,fallback
