dataset,n_train,effective_mc_regime,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,q1,q3,medcouple,mc_n_used,mc_source,mc_export_n,param_strategy
21_Lymphography,89,FULL_DATA_ONLY,0,continuous,3,0.79252,1.500705,adjusted_boxplot_range,,,0.79252,1.500705,-0.06201345693568785,89,FULL_TRAIN,10000,adjusted_boxplot
21_Lymphography,89,FULL_DATA_ONLY,1,continuous,2,0.590493,0.807558,adjusted_boxplot_range,,,0.590493,0.807558,1.0,89,FULL_TRAIN,10000,adjusted_boxplot
21_Lymphography,89,FULL_DATA_ONLY,2,continuous,2,0.193191,1.739116,adjusted_boxplot_range,,,0.193191,0.193191,1.0,89,FULL_TRAIN,10000,adjusted_boxplot
21_Lymphography,89,FULL_DATA_ONLY,3,continuous,2,0.048452,3.051302,adjusted_boxplot_range,,,0.048452,0.048452,0.0,89,FULL_TRAIN,10000,adjusted_boxplot
21_Lymphography,89,FULL_DATA_ONLY,4,continuous,2,0.278713,1.413693,adjusted_boxplot_range,,,0.278713,0.278713,1.0,89,FULL_TRAIN,10000,adjusted_boxplot
21_Lymphography,89,FULL_DATA_ONLY,5,continuous,2,0.679724,0.706753,adjusted_boxplot_range,,,0.679724,0.706753,1.0,89,FULL_TRAIN,10000,adjusted_boxplot
21_Lymphography,89,FULL_DATA_ONLY,6,continuous,2,0.069959,2.694627,adjusted_boxplot_range,,,0.069959,0.069959,0.0,89,FULL_TRAIN,10000,adjusted_boxplot
21_Lymphography,89,FULL_DATA_ONLY,7,continuous,2,0.352821,1.213023,adjusted_boxplot_range,,,0.352821,1.213023,1.0,89,FULL_TRAIN,10000,adjusted_boxplot
21_Lymphography,89,FULL_DATA_ONLY,8,constant,1,1.0,1.0,constant,1.0,1.0,,,,0,NA,10000,fallback
21_Lymphography,89,FULL_DATA_ONLY,9,categorical_low_card,4,1.0,4.0,minmax,1.0,4.0,,,,0,NA,10000,fallback
21_Lymphography,89,FULL_DATA_ONLY,10,continuous,3,0.653407,3.205453,adjusted_boxplot_range,,,0.653407,0.822825,1.0,89,FULL_TRAIN,10000,adjusted_boxplot
21_Lymphography,89,FULL_DATA_ONLY,11,continuous,4,1.085189,3.8986,adjusted_boxplot_range,,,1.085189,1.168571,0.5154109999760151,89,FULL_TRAIN,10000,adjusted_boxplot
21_Lymphography,89,FULL_DATA_ONLY,12,continuous,4,0.679724,3.205453,adjusted_boxplot_range,,,0.679724,1.259543,1.0,89,FULL_TRAIN,10000,adjusted_boxplot
21_Lymphography,89,FULL_DATA_ONLY,13,continuous,7,1.19055,4.304065,adjusted_boxplot_range,,,1.19055,2.052773,0.18729707392482894,89,FULL_TRAIN,10000,adjusted_boxplot
21_Lymphography,89,FULL_DATA_ONLY,14,continuous,3,0.653407,1.665008,adjusted_boxplot_range,,,0.653407,1.236012,1.0,89,FULL_TRAIN,10000,adjusted_boxplot
21_Lymphography,89,FULL_DATA_ONLY,15,continuous,2,0.412245,1.085189,adjusted_boxplot_range,,,0.412245,1.085189,1.0,89,FULL_TRAIN,10000,adjusted_boxplot
21_Lymphography,89,FULL_DATA_ONLY,16,continuous,2,0.235038,1.563225,adjusted_boxplot_range,,,0.235038,0.235038,1.0,89,FULL_TRAIN,10000,adjusted_boxplot
21_Lymphography,89,FULL_DATA_ONLY,17,categorical_low_card,8,1.0,8.0,minmax,1.0,8.0,,,,0,NA,10000,fallback
