dataset,n_train,effective_mc_regime,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,q1,q3,medcouple,mc_n_used,mc_source,mc_export_n,param_strategy
25_musk,2106,FULL_DATA_ONLY,0,continuous,31,28.0,64.0,adjusted_boxplot_range,,,36.0,47.0,0.05263157894736842,2106,FULL_TRAIN,10000,adjusted_boxplot
25_musk,2106,FULL_DATA_ONLY,1,continuous,199,-198.0,90.0,adjusted_boxplot_range,,,-187.0,-39.25,0.49557522123893805,2106,FULL_TRAIN,10000,adjusted_boxplot
25_musk,2106,FULL_DATA_ONLY,2,continuous,186,-164.0,52.0,adjusted_boxplot_range,,,-126.0,26.0,0.14482758620689656,2106,FULL_TRAIN,10000,adjusted_boxplot
25_musk,2106,FULL_DATA_ONLY,3,continuous,214,-114.0,155.0,adjusted_boxplot_range,,,-52.0,128.0,0.22012578616352202,2106,FULL_TRAIN,10000,adjusted_boxplot
25_musk,2106,FULL_DATA_ONLY,4,continuous,60,-117.0,15.0,adjusted_boxplot_range,,,-117.0,-116.0,1.0,2106,FULL_TRAIN,10000,adjusted_boxplot
25_musk,2106,FULL_DATA_ONLY,5,continuous,276,-157.0,197.0,adjusted_boxplot_range,,,-25.0,87.0,-0.3656957928802589,2106,FULL_TRAIN,10000,adjusted_boxplot
25_musk,2106,FULL_DATA_ONLY,6,continuous,244,-170.0,217.0,adjusted_boxplot_range,,,-161.0,78.0,0.060240963855421686,2106,FULL_TRAIN,10000,adjusted_boxplot
25_musk,2106,FULL_DATA_ONLY,7,continuous,215,-27.0,234.0,adjusted_boxplot_range,,,16.0,74.0,-0.02040816326530612,2106,FULL_TRAIN,10000,adjusted_boxplot
25_musk,2106,FULL_DATA_ONLY,8,continuous,290,-244.0,147.0,adjusted_boxplot_range,,,-226.0,-23.0,-0.16847826086956522,2106,FULL_TRAIN,10000,adjusted_boxplot
25_musk,2106,FULL_DATA_ONLY,9,continuous,322,-187.0,231.0,adjusted_boxplot_range,,,-106.0,1.0,-0.08,2106,FULL_TRAIN,10000,adjusted_boxplot
25_musk,2106,FULL_DATA_ONLY,10,continuous,210,-155.0,161.0,adjusted_boxplot_range,,,-90.0,-39.0,-0.12280701754385964,2106,FULL_TRAIN,10000,adjusted_boxplot
25_musk,2106,FULL_DATA_ONLY,11,continuous,237,-131.0,172.0,adjusted_boxplot_range,,,-91.75,-25.0,0.06060606060606061,2106,FULL_TRAIN,10000,adjusted_boxplot
25_musk,2106,FULL_DATA_ONLY,12,continuous,252,-140.0,194.0,adjusted_boxplot_range,,,-75.0,-32.0,0.18518518518518517,2106,FULL_TRAIN,10000,adjusted_boxplot
25_musk,2106,FULL_DATA_ONLY,13,continuous,152,-137.0,79.0,adjusted_boxplot_range,,,-96.0,-63.0,0.0,2106,FULL_TRAIN,10000,adjusted_boxplot
25_musk,2106,FULL_DATA_ONLY,14,continuous,199,-121.0,117.0,adjusted_boxplot_range,,,-91.0,-63.0,0.08108108108108109,2106,FULL_TRAIN,10000,adjusted_boxplot
25_musk,2106,FULL_DATA_ONLY,15,continuous,272,-316.0,65.0,adjusted_boxplot_range,,,-292.0,-257.0,0.42857142857142855,2106,FULL_TRAIN,10000,adjusted_boxplot
25_musk,2106,FULL_DATA_ONLY,16,continuous,286,-223.0,138.0,adjusted_boxplot_range,,,-209.75,57.0,0.3605015673981191,2106,FULL_TRAIN,10000,adjusted_boxplot
25_musk,2106,FULL_DATA_ONLY,17,continuous,244,-150.0,185.0,adjusted_boxplot_range,,,-73.0,-30.0,0.23076923076923078,2106,FULL_TRAIN,10000,adjusted_boxplot
25_musk,2106,FULL_DATA_ONLY,18,continuous,238,-84.0,199.0,adjusted_boxplot_range,,,-47.0,9.0,0.043478260869565216,2106,FULL_TRAIN,10000,adjusted_boxplot
