dataset,n_train,effective_mc_regime,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,q1,q3,medcouple,mc_n_used,mc_source,mc_export_n,param_strategy
26_optdigits,3582,FULL_DATA_ONLY,0,constant,1,0.0,0.0,constant,0.0,0.0,,,,0,NA,10000,fallback
26_optdigits,3582,FULL_DATA_ONLY,1,categorical_low_card,9,0.0,8.0,minmax,0.0,8.0,,,,0,NA,10000,fallback
26_optdigits,3582,FULL_DATA_ONLY,2,categorical_low_card,17,0.0,16.0,minmax,0.0,16.0,,,,0,NA,10000,fallback
26_optdigits,3582,FULL_DATA_ONLY,3,categorical_low_card,17,0.0,16.0,minmax,0.0,16.0,,,,0,NA,10000,fallback
26_optdigits,3582,FULL_DATA_ONLY,4,categorical_low_card,17,0.0,16.0,minmax,0.0,16.0,,,,0,NA,10000,fallback
26_optdigits,3582,FULL_DATA_ONLY,5,categorical_low_card,17,0.0,16.0,minmax,0.0,16.0,,,,0,NA,10000,fallback
26_optdigits,3582,FULL_DATA_ONLY,6,categorical_low_card,17,0.0,16.0,minmax,0.0,16.0,,,,0,NA,10000,fallback
26_optdigits,3582,FULL_DATA_ONLY,7,categorical_low_card,16,0.0,15.0,minmax,0.0,15.0,,,,0,NA,10000,fallback
26_optdigits,3582,FULL_DATA_ONLY,8,categorical_low_card,4,0.0,5.0,minmax,0.0,5.0,,,,0,NA,10000,fallback
26_optdigits,3582,FULL_DATA_ONLY,9,categorical_low_card,17,0.0,16.0,minmax,0.0,16.0,,,,0,NA,10000,fallback
26_optdigits,3582,FULL_DATA_ONLY,10,categorical_low_card,17,0.0,16.0,minmax,0.0,16.0,,,,0,NA,10000,fallback
26_optdigits,3582,FULL_DATA_ONLY,11,categorical_low_card,17,0.0,16.0,minmax,0.0,16.0,,,,0,NA,10000,fallback
26_optdigits,3582,FULL_DATA_ONLY,12,categorical_low_card,17,0.0,16.0,minmax,0.0,16.0,,,,0,NA,10000,fallback
26_optdigits,3582,FULL_DATA_ONLY,13,categorical_low_card,17,0.0,16.0,minmax,0.0,16.0,,,,0,NA,10000,fallback
26_optdigits,3582,FULL_DATA_ONLY,14,categorical_low_card,17,0.0,16.0,minmax,0.0,16.0,,,,0,NA,10000,fallback
26_optdigits,3582,FULL_DATA_ONLY,15,categorical_low_card,14,0.0,13.0,minmax,0.0,13.0,,,,0,NA,10000,fallback
26_optdigits,3582,FULL_DATA_ONLY,16,categorical_low_card,5,0.0,5.0,minmax,0.0,5.0,,,,0,NA,10000,fallback
26_optdigits,3582,FULL_DATA_ONLY,17,categorical_low_card,17,0.0,16.0,minmax,0.0,16.0,,,,0,NA,10000,fallback
26_optdigits,3582,FULL_DATA_ONLY,18,categorical_low_card,17,0.0,16.0,minmax,0.0,16.0,,,,0,NA,10000,fallback
26_optdigits,3582,FULL_DATA_ONLY,19,categorical_low_card,17,0.0,16.0,minmax,0.0,16.0,,,,0,NA,10000,fallback
26_optdigits,3582,FULL_DATA_ONLY,20,categorical_low_card,17,0.0,16.0,minmax,0.0,16.0,,,,0,NA,10000,fallback
26_optdigits,3582,FULL_DATA_ONLY,21,categorical_low_card,17,0.0,16.0,minmax,0.0,16.0,,,,0,NA,10000,fallback
