dataset,n_train,effective_mc_regime,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,q1,q3,medcouple,mc_n_used,mc_source,mc_export_n,param_strategy
30_satellite,3058,FULL_DATA_ONLY,0,continuous,45,46.0,104.0,adjusted_boxplot_range,,,64.0,84.0,0.3333333333333333,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,1,continuous,68,37.0,137.0,adjusted_boxplot_range,,,77.0,106.0,-0.15555555555555556,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,2,continuous,66,62.0,139.0,adjusted_boxplot_range,,,85.0,113.0,-0.18518518518518517,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,3,continuous,56,51.0,133.0,adjusted_boxplot_range,,,68.0,90.0,-0.25,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,4,continuous,45,46.0,104.0,adjusted_boxplot_range,,,64.0,84.0,0.3103448275862069,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,5,continuous,63,43.0,128.0,adjusted_boxplot_range,,,79.0,106.0,-0.15,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,6,continuous,66,64.0,139.0,adjusted_boxplot_range,,,85.0,113.0,-0.1836734693877551,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,7,continuous,57,49.0,122.0,adjusted_boxplot_range,,,68.0,90.0,-0.2571428571428571,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,8,continuous,44,46.0,104.0,adjusted_boxplot_range,,,64.0,84.0,0.3,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,9,continuous,67,34.0,130.0,adjusted_boxplot_range,,,77.0,106.0,-0.16666666666666666,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,10,continuous,66,60.0,136.0,adjusted_boxplot_range,,,85.0,113.0,-0.2,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,11,continuous,64,34.0,137.0,adjusted_boxplot_range,,,68.0,90.0,-0.2631578947368421,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,12,continuous,45,46.0,104.0,adjusted_boxplot_range,,,64.0,84.0,0.3333333333333333,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,13,continuous,59,53.0,131.0,adjusted_boxplot_range,,,77.0,106.0,-0.15151515151515152,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,14,continuous,66,64.0,139.0,adjusted_boxplot_range,,,85.0,113.0,-0.18518518518518517,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,15,continuous,55,48.0,109.0,adjusted_boxplot_range,,,68.0,91.0,-0.2608695652173913,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,16,continuous,43,46.0,101.0,adjusted_boxplot_range,,,64.0,84.0,0.3333333333333333,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,17,continuous,53,60.0,128.0,adjusted_boxplot_range,,,77.0,106.0,-0.19230769230769232,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,18,continuous,64,64.0,136.0,adjusted_boxplot_range,,,85.0,113.0,-0.19047619047619047,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,19,continuous,53,48.0,109.0,adjusted_boxplot_range,,,67.0,91.0,-0.2631578947368421,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,20,continuous,43,46.0,101.0,adjusted_boxplot_range,,,64.0,84.0,0.3333333333333333,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,21,continuous,59,40.0,130.0,adjusted_boxplot_range,,,77.0,106.0,-0.16666666666666666,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,22,continuous,66,62.0,136.0,adjusted_boxplot_range,,,85.0,113.0,-0.1891891891891892,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,23,continuous,56,41.0,122.0,adjusted_boxplot_range,,,67.0,90.0,-0.26666666666666666,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,24,continuous,45,44.0,102.0,adjusted_boxplot_range,,,64.0,84.0,0.2903225806451613,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,25,continuous,69,32.0,131.0,adjusted_boxplot_range,,,77.0,106.0,-0.047619047619047616,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,26,continuous,67,62.0,139.0,adjusted_boxplot_range,,,85.0,113.0,-0.1891891891891892,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,27,continuous,61,44.0,133.0,adjusted_boxplot_range,,,67.0,91.0,-0.25,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,28,continuous,45,44.0,104.0,adjusted_boxplot_range,,,64.0,84.0,0.3,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,29,continuous,65,37.0,130.0,adjusted_boxplot_range,,,77.0,106.0,-0.15789473684210525,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,30,continuous,65,64.0,139.0,adjusted_boxplot_range,,,85.0,113.0,-0.1891891891891892,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,31,continuous,54,48.0,114.0,adjusted_boxplot_range,,,67.25,91.0,-0.2631578947368421,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,32,continuous,44,46.0,104.0,adjusted_boxplot_range,,,64.0,83.0,0.47368421052631576,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,33,continuous,61,40.0,130.0,adjusted_boxplot_range,,,77.0,106.0,-0.17073170731707318,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,34,continuous,67,60.0,136.0,adjusted_boxplot_range,,,84.0,113.0,-0.2,3058,FULL_TRAIN,10000,adjusted_boxplot
30_satellite,3058,FULL_DATA_ONLY,35,continuous,59,34.0,122.0,adjusted_boxplot_range,,,67.0,90.0,-0.2727272727272727,3058,FULL_TRAIN,10000,adjusted_boxplot
