dataset,n_train,effective_mc_regime,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,q1,q3,medcouple,mc_n_used,mc_source,mc_export_n,param_strategy
43_WDBC,259,FULL_DATA_ONLY,0,continuous,219,6.981,17.85,adjusted_boxplot_range,,,11.145,13.375,-0.0029498525073745696,259,FULL_TRAIN,10000,adjusted_boxplot
43_WDBC,259,FULL_DATA_ONLY,1,continuous,240,10.72,33.81,adjusted_boxplot_range,,,14.89,19.795,0.04816955684007673,259,FULL_TRAIN,10000,adjusted_boxplot
43_WDBC,259,FULL_DATA_ONLY,2,continuous,250,43.79,114.6,adjusted_boxplot_range,,,71.27,85.99499999999999,0.02805901070292137,259,FULL_TRAIN,10000,adjusted_boxplot
43_WDBC,259,FULL_DATA_ONLY,3,continuous,251,143.5,992.1,adjusted_boxplot_range,,,381.5,552.05,0.02360671696276491,259,FULL_TRAIN,10000,adjusted_boxplot
43_WDBC,259,FULL_DATA_ONLY,4,continuous,249,0.05263,0.1634,adjusted_boxplot_range,,,0.083325,0.10035,0.06796116504854408,259,FULL_TRAIN,10000,adjusted_boxplot
43_WDBC,259,FULL_DATA_ONLY,5,continuous,256,0.01938,0.2239,adjusted_boxplot_range,,,0.054125,0.095275,0.15479693937610378,259,FULL_TRAIN,10000,adjusted_boxplot
43_WDBC,259,FULL_DATA_ONLY,6,continuous,249,0.0,0.4108,adjusted_boxplot_range,,,0.02014,0.057800000000000004,0.22222222222223292,259,FULL_TRAIN,10000,adjusted_boxplot
43_WDBC,259,FULL_DATA_ONLY,7,continuous,248,0.0,0.07857,adjusted_boxplot_range,,,0.014495000000000001,0.031445,0.09461966604823814,259,FULL_TRAIN,10000,adjusted_boxplot
43_WDBC,259,FULL_DATA_ONLY,8,continuous,223,0.1167,0.2595,adjusted_boxplot_range,,,0.15815,0.1865,0.08426966292134834,259,FULL_TRAIN,10000,adjusted_boxplot
43_WDBC,259,FULL_DATA_ONLY,9,continuous,241,0.05185,0.09575,adjusted_boxplot_range,,,0.058315,0.06570999999999999,0.1870503597122299,259,FULL_TRAIN,10000,adjusted_boxplot
