dataset,n_train,mc_sizes,n_blocks,k_treatments,friedman_stat,p_value,alpha,verdict,delta_mc_median,delta_mc_p95,effective_mc_regime,mc_export_n
1_ALOI,33672,1000;2000;5000;10000,27,4,5.713235294117679,0.1264267007194895,0.05,NO_SIGNIFICANT_DIFFERENCE_STABLE,6.35122261035681e-05,0.0008881006104236366,SUBSAMPLE_REGIME,10000
2_annthyroid,4707,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
4_breastw,306,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
5_campaign,25495,1000;2000;5000;10000,10,4,0.7500000000000283,0.861385080404535,0.05,NO_SIGNIFICANT_DIFFERENCE_STABLE,0.0,0.0023776758600494562,SUBSAMPLE_REGIME,10000
6_cardio,1127,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
7_Cardiotocography,1162,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
8_celeba,138972,1000;2000;5000;10000,0,4,0.0,1.0,0.05,INSUFFICIENT_BLOCKS_STABLE,0.0,0.0,SUBSAMPLE_REGIME,10000
10_cover,198346,1000;2000;5000;10000,10,4,1.4999999999999758,0.6822703303362182,0.05,NO_SIGNIFICANT_DIFFERENCE_STABLE,0.0012609243707490843,0.0027918364994804403,SUBSAMPLE_REGIME,10000
11_donors,407554,1000;2000;5000;10000,8,4,0.0,1.0,0.05,DEGENERATE_ALL_EQUAL_PER_BLOCK_STABLE,0.0,0.0,SUBSAMPLE_REGIME,10000
12_fault,888,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
13_fraud,198815,1000;2000;5000;10000,29,4,0.10344827586203564,0.9914204307377168,0.05,NO_SIGNIFICANT_DIFFERENCE_STABLE,0.0002573331450985705,0.0005790628389545166,SUBSAMPLE_REGIME,10000
14_glass,146,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
15_Hepatitis,48,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
16_http,395688,1000;2000;5000;10000,3,4,0.7500000000000107,0.8613850804045391,0.05,NO_SIGNIFICANT_DIFFERENCE_STABLE,4.011919293878119e-05,0.001023507489206584,SUBSAMPLE_REGIME,10000
17_InternetAds,1149,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
18_Ionosphere,156,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
19_landsat,3611,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
20_letter,1047,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
21_Lymphography,89,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
22_magic.gamma,8608,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
23_mammography,7617,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
24_mnist,4858,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
25_musk,2106,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
26_optdigits,3582,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
27_PageBlocks,3414,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
28_pendigits,4701,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
29_Pima,343,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
30_satellite,3058,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
32_shuttle,31835,1000;2000;5000;10000,9,4,1.2857142857142125,0.7325281239407826,0.05,NO_SIGNIFICANT_DIFFERENCE_STABLE,0.0,0.03130718954248364,SUBSAMPLE_REGIME,10000
33_skin,135868,1000;2000;5000;10000,3,4,2.000000000000005,0.5724067044708787,0.05,NO_SIGNIFICANT_DIFFERENCE_STABLE,0.001536924613847801,0.006330163049621251,SUBSAMPLE_REGIME,10000
34_smtp,66620,1000;2000;5000;10000,3,4,2.9999999999999996,0.39162517627108906,0.05,NO_SIGNIFICANT_DIFFERENCE_STABLE,0.0,0.0007824635848630745,SUBSAMPLE_REGIME,10000
35_SpamBase,1741,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
36_speech,2580,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
37_Stamps,225,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
38_thyroid,2574,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
39_vertebral,153,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
40_vowels,1001,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
41_Waveform,2336,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
42_WBC,158,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
43_WDBC,259,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
44_Wilt,3216,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
45_wine,87,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
46_WPBC,97,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
47_yeast,650,1000;2000;5000;10000,0,4,0.0,1.0,0.05,FULL_DATA_EXACT_ESTIMATOR,0.0,0.0,FULL_DATA_ONLY,10000
