dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,mean,std,param_strategy
12_fault,888,0,continuous,524,-1.09688159153183,2.14496638586944,zscore_range,,,-0.1168682903706156,1.0026905099749188,zscore
12_fault,888,1,continuous,530,-1.22976435517332,2.16635082076744,zscore_range,,,-0.10239903867571093,0.9833693795434486,zscore
12_fault,888,2,continuous,887,-0.925997326729054,6.2406913326443,zscore_range,,,0.09135092625119311,0.9783544849625017,zscore
12_fault,888,3,continuous,888,-0.926005794516948,6.24063853581689,zscore_range,,,0.09135895853134972,0.9783627972256436,zscore
12_fault,888,4,continuous,566,-0.366042994321442,29.169449785026895,zscore_range,,,0.14206795646916026,1.288629196279631,zscore
12_fault,888,5,continuous,288,-0.364714072376545,34.3188229760671,zscore_range,,,0.11025588685443108,1.351079156049159,zscore
12_fault,888,6,continuous,236,-0.192190591704755,42.367548343869295,zscore_range,,,0.0587911466729756,1.4523595771821767,zscore
12_fault,888,7,continuous,886,-0.402234485939594,22.2237836418806,zscore_range,,,0.1538897028985446,1.2276005154252252,zscore
12_fault,888,8,continuous,131,-2.63110601997835,3.43718074693696,zscore_range,,,-0.16951789869360986,1.0201756297857092,zscore
12_fault,888,9,continuous,74,-3.22046657602787,6.51684438618204,zscore_range,,,-0.0034955984251818584,0.8988399020824146,zscore
12_fault,888,10,continuous,69,-1.60578034281914,2.3159829470009,zscore_range,,,-0.10016957253370802,0.9469590009887059,zscore
12_fault,888,11,continuous,2,-0.816812013267454,1.22364116273271,zscore_range,,,-0.026366188330453556,0.9940136275667637,zscore
12_fault,888,12,continuous,2,-1.22364116273271,0.816812013267454,zscore_range,,,0.026366188330453556,0.9940136275667637,zscore
12_fault,888,13,continuous,20,-0.703222992277378,3.83513260025617,zscore_range,,,-0.23227660585757903,0.6598599441937032,zscore
12_fault,888,14,continuous,626,-1.10678076435001,2.17470554423099,zscore_range,,,-0.12101678849499105,0.9788522432044614,zscore
12_fault,888,15,continuous,702,-3.01762244063192,3.85903326492465,zscore_range,,,-0.03324664452386025,0.9777106799080185,zscore
12_fault,888,16,continuous,457,-2.07507740535853,1.58354396444696,zscore_range,,,0.05853551006438622,0.9717568417711929,zscore
12_fault,888,17,continuous,294,-0.540374332371753,9.4509471843803,zscore_range,,,0.12540779549623662,1.0323854118183906,zscore
12_fault,888,18,continuous,486,-2.4504118481147,1.60093837241874,zscore_range,,,-0.03535870098005902,0.9896012246756953,zscore
12_fault,888,19,continuous,365,-3.02412290962738,0.796196202988222,zscore_range,,,-0.04928710109083334,1.0286880405561982,zscore
12_fault,888,20,continuous,3,-1.19359755748205,0.87957726048006,zscore_range,,,-0.06245656727637174,1.0079491713433788,zscore
12_fault,888,21,continuous,563,-2.77767199390999,3.41134466501716,zscore_range,,,0.1370182555337034,1.1227090461944613,zscore
12_fault,888,22,continuous,129,-2.14838288970998,3.28545622216228,zscore_range,,,0.11462103844642951,1.1158743024489506,zscore
12_fault,888,23,continuous,167,-3.08855782191088,6.28471245292261,zscore_range,,,0.1073138430250248,1.0341635464443515,zscore
12_fault,888,24,continuous,524,-2.02685645901412,1.8136760191415,zscore_range,,,-0.05114593583351576,0.9718177020964512,zscore
12_fault,888,25,continuous,776,-3.21506425704718,4.78066918172919,zscore_range,,,-0.03102999854641115,0.9197099247401763,zscore
12_fault,888,26,continuous,245,-1.37404027895687,1.22132078851526,zscore_range,,,0.06899849513380893,1.0306660338342064,zscore
