dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,mean,std,param_strategy
18_Ionosphere,156,0,continuous,118,0.59733,1.0,zscore_range,,,0.9115271794871794,0.10336557349849568,zscore
18_Ionosphere,156,1,continuous,151,0.037735,1.0,zscore_range,,,0.5447933653846153,0.12198658605738996,zscore
18_Ionosphere,156,2,continuous,118,0.52099,1.0,zscore_range,,,0.8980753525641026,0.11054610179826498,zscore
18_Ionosphere,156,3,continuous,153,0.107455,1.0,zscore_range,,,0.5838821153846154,0.1458942870668015,zscore
18_Ionosphere,156,4,continuous,130,0.38889,1.0,zscore_range,,,0.8542033653846155,0.14683043858125142,zscore
18_Ionosphere,156,5,continuous,152,0.06474,1.0,zscore_range,,,0.6047773717948717,0.19078239828321455,zscore
18_Ionosphere,156,6,continuous,135,0.286875,1.0,zscore_range,,,0.8096013461538462,0.1926035752152277,zscore
18_Ionosphere,156,7,continuous,149,0.25019,1.0,zscore_range,,,0.6179218269230768,0.19578084054223785,zscore
18_Ionosphere,156,8,continuous,137,0.0,1.0,zscore_range,,,0.7672270192307692,0.24283861827140998,zscore
18_Ionosphere,156,9,continuous,150,0.0,1.0,zscore_range,,,0.6157946794871795,0.20136190729110134,zscore
18_Ionosphere,156,10,continuous,141,0.0,1.0,zscore_range,,,0.7334159615384616,0.2923109708570144,zscore
18_Ionosphere,156,11,continuous,152,0.24063,1.0,zscore_range,,,0.5939927243589744,0.19163240114526475,zscore
18_Ionosphere,156,12,continuous,138,0.0,1.0,zscore_range,,,0.7132526282051282,0.3145323326860873,zscore
18_Ionosphere,156,13,continuous,152,0.082405,1.0,zscore_range,,,0.5710467307692307,0.18255647506903894,zscore
18_Ionosphere,156,14,continuous,142,0.0,1.0,zscore_range,,,0.6932890064102565,0.3057949773197407,zscore
18_Ionosphere,156,15,continuous,153,0.11111,1.0,zscore_range,,,0.5345808333333333,0.19909822235876679,zscore
18_Ionosphere,156,16,continuous,139,0.0,1.0,zscore_range,,,0.6924626923076924,0.30392666252784667,zscore
18_Ionosphere,156,17,continuous,152,0.0,1.0,zscore_range,,,0.5029369871794872,0.20408936323374052,zscore
18_Ionosphere,156,18,continuous,144,0.0,1.0,zscore_range,,,0.6994568589743588,0.285607825772856,zscore
18_Ionosphere,156,19,continuous,153,0.0,1.0,zscore_range,,,0.4906146794871796,0.2183860158271853,zscore
18_Ionosphere,156,20,continuous,141,0.03191,1.0,zscore_range,,,0.7095003205128204,0.27278286475756863,zscore
18_Ionosphere,156,21,continuous,149,0.0,1.0,zscore_range,,,0.47976599358974353,0.21372637650415569,zscore
18_Ionosphere,156,22,continuous,143,0.0,1.0,zscore_range,,,0.7153599358974359,0.2558065704334409,zscore
18_Ionosphere,156,23,continuous,150,0.0,1.0,zscore_range,,,0.46624990384615383,0.21911117969235766,zscore
18_Ionosphere,156,24,continuous,148,0.0,1.0,zscore_range,,,0.7283654807692308,0.24182668486622946,zscore
18_Ionosphere,156,25,continuous,154,0.0,1.0,zscore_range,,,0.47339,0.20629199972213896,zscore
18_Ionosphere,156,26,continuous,144,0.0,1.0,zscore_range,,,0.720723685897436,0.23645389915854537,zscore
18_Ionosphere,156,27,continuous,149,0.0,1.0,zscore_range,,,0.47749871794871795,0.2157867820221427,zscore
18_Ionosphere,156,28,continuous,141,0.0,1.0,zscore_range,,,0.7220836217948718,0.23014517752219435,zscore
18_Ionosphere,156,29,continuous,151,0.030235,1.0,zscore_range,,,0.4868570833333334,0.20525250262220665,zscore
18_Ionosphere,156,30,continuous,142,0.040485,1.0,zscore_range,,,0.7091135576923077,0.2359950777158134,zscore
18_Ionosphere,156,31,continuous,151,0.025885,1.0,zscore_range,,,0.49245541666666665,0.20582584370492843,zscore
