dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,mean,std,param_strategy
21_Lymphography,89,0,continuous,3,0.79252,1.500705,zscore_range,,,1.0848982471910111,0.29646607442780953,zscore
21_Lymphography,89,1,continuous,2,0.590493,0.807558,zscore_range,,,0.6758556404494384,0.10603047281162728,zscore
21_Lymphography,89,2,continuous,2,0.193191,1.739116,zscore_range,,,0.5058499887640449,0.6209603078700774,zscore
21_Lymphography,89,3,continuous,2,0.048452,3.051302,zscore_range,,,0.14967166292134831,0.5419428425963937,zscore
21_Lymphography,89,4,continuous,2,0.278713,1.413693,zscore_range,,,0.5592698539325842,0.48960623953117166,zscore
21_Lymphography,89,5,continuous,2,0.679724,0.706753,zscore_range,,,0.6924792584269663,0.0134931561350107,zscore
21_Lymphography,89,6,continuous,2,0.069959,2.694627,zscore_range,,,0.187921606741573,0.543780748576045,zscore
21_Lymphography,89,7,continuous,2,0.352821,1.213023,zscore_range,,,0.6041159662921346,0.3911716662932807,zscore
21_Lymphography,89,8,constant,1,1.0,1.0,constant,1.0,1.0,,,fallback
21_Lymphography,89,9,categorical_low_card,4,1.0,4.0,minmax,1.0,4.0,,,fallback
21_Lymphography,89,10,continuous,3,0.653407,3.205453,zscore_range,,,0.7888028426966291,0.3758305758378129,zscore
21_Lymphography,89,11,continuous,4,1.085189,3.8986,zscore_range,,,1.1517455280898876,0.29503710078271805,zscore
21_Lymphography,89,12,continuous,4,0.679724,3.205453,zscore_range,,,1.0612762584269664,0.48963183746838146,zscore
21_Lymphography,89,13,continuous,7,1.19055,4.304065,zscore_range,,,1.7950025955056181,0.6948951546557822,zscore
21_Lymphography,89,14,continuous,3,0.653407,1.665008,zscore_range,,,0.9892805842696628,0.38876206924702894,zscore
21_Lymphography,89,15,continuous,2,0.412245,1.085189,zscore_range,,,0.608835382022472,0.3060172213062345,zscore
21_Lymphography,89,16,continuous,2,0.235038,1.563225,zscore_range,,,0.47381319101123603,0.5100240315722273,zscore
21_Lymphography,89,17,categorical_low_card,8,1.0,8.0,minmax,1.0,8.0,,,fallback
