dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,mean,std,param_strategy
22_magic.gamma,8608,0,continuous,8543,-0.969134769442185,5.16496153162749,zscore_range,,,-0.22565933736132815,0.6227349889115908,zscore
22_magic.gamma,8608,1,continuous,8381,-1.20903184108237,8.40257062857248,zscore_range,,,-0.1992599000274025,0.48580926024296334,zscore
22_magic.gamma,8608,2,continuous,3570,-1.750358286863,4.5907516767631,zscore_range,,,-0.09317056697283,0.9801187284108487,zscore
22_magic.gamma,8608,3,continuous,4535,-2.00438030345945,2.78192753763412,zscore_range,,,0.022621575614131903,0.975682855348653,zscore
22_magic.gamma,8608,4,continuous,3434,-1.87635178331418,4.16740146647042,zscore_range,,,0.0076595836276889635,0.9629471589667236,zscore
22_magic.gamma,8608,5,continuous,8535,-5.83428863975866,3.78724302277722,zscore_range,,,0.11863864610460809,0.6742872020090694,zscore
22_magic.gamma,8608,6,continuous,8535,-4.10611882817538,3.79052956566458,zscore_range,,,0.14242253522067377,0.6665812024669227,zscore
22_magic.gamma,8608,7,continuous,8441,-4.36044134792549,4.85625113579186,zscore_range,,,-0.0033484401467036417,0.6469371833693092,zscore
22_magic.gamma,8608,8,continuous,8264,-1.0590755664032,2.3887220279683,zscore_range,,,-0.3350614040320399,0.8242516178522107,zscore
22_magic.gamma,8608,9,continuous,8458,-2.50405930423131,3.43339807543591,zscore_range,,,-0.04157381463452987,0.9393893615468369,zscore
