dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,mean,std,param_strategy
24_mnist,4858,0,constant,1,-0.00359999993816,-0.00359999993816,constant,-0.00359999993816,-0.00359999993816,,,fallback
24_mnist,4858,1,continuous,254,-73.80415344238281,181.1958465576172,zscore_range,,,27.434010411054818,107.57728314754692,zscore
24_mnist,4858,2,continuous,251,-53.79403305053711,201.2059631347656,zscore_range,,,102.99558986131426,107.15052647315814,zscore
24_mnist,4858,3,constant,1,0.0,0.0,constant,0.0,0.0,,,fallback
24_mnist,4858,4,continuous,94,-13.124616622924805,241.87538146972656,zscore_range,,,-8.353723302600118,30.476914303612954,zscore
24_mnist,4858,5,continuous,23,-1.150099992752075,251.84989929199216,zscore_range,,,-0.7219402580508579,8.576243972356899,zscore
24_mnist,4858,6,constant,1,0.0,0.0,constant,0.0,0.0,,,fallback
24_mnist,4858,7,constant,1,-0.141633331775665,-0.141633331775665,constant,-0.141633331775665,-0.141633331775665,,,fallback
24_mnist,4858,8,continuous,252,-73.75061798095702,181.24938964843753,zscore_range,,,96.18166309700625,102.4306893697879,zscore
24_mnist,4858,9,continuous,241,-44.33883285522461,210.66116333007807,zscore_range,,,21.927530795961502,95.30627734780354,zscore
24_mnist,4858,10,continuous,208,-80.73670196533203,174.2633056640625,zscore_range,,,-56.807924271415125,63.84085081045967,zscore
24_mnist,4858,11,continuous,251,-122.34065246582033,132.6593475341797,zscore_range,,,35.59985803232707,107.72254226048013,zscore
24_mnist,4858,12,continuous,253,-62.35015106201172,192.64984130859372,zscore_range,,,106.0469214548148,101.64139902560261,zscore
24_mnist,4858,13,continuous,253,-87.20966339111328,167.79034423828125,zscore_range,,,71.07132023182756,104.91196374729152,zscore
24_mnist,4858,14,continuous,15,-9.828700065612791,243.1712951660156,zscore_range,,,-9.392512335802802,9.11613362746211,zscore
24_mnist,4858,15,continuous,2,-0.076399996876717,32.92359924316406,zscore_range,,,-0.0696070781364863,0.473413317852657,zscore
24_mnist,4858,16,continuous,22,-3.639633417129517,249.36036682128903,zscore_range,,,-3.2756976401084446,7.243181691614828,zscore
24_mnist,4858,17,continuous,167,-111.37183380126952,143.628173828125,zscore_range,,,-102.1439621486797,40.2978540449354,zscore
24_mnist,4858,18,continuous,223,-47.04378509521485,207.95620727539065,zscore_range,,,-12.06416464185656,76.66193428901421,zscore
24_mnist,4858,19,continuous,254,-133.33865356445312,121.66134643554688,zscore_range,,,54.78258974555099,93.56468052466083,zscore
24_mnist,4858,20,continuous,255,-48.18256759643555,206.8174285888672,zscore_range,,,120.7068904265792,101.60693647837584,zscore
24_mnist,4858,21,constant,1,0.0,0.0,constant,0.0,0.0,,,fallback
24_mnist,4858,22,continuous,142,-9.87643337249756,245.12356567382807,zscore_range,,,-2.735428895710821,33.77403037719382,zscore
24_mnist,4858,23,continuous,255,-68.9713363647461,186.02865600585935,zscore_range,,,78.96608269268616,107.53515935357919,zscore
24_mnist,4858,24,continuous,253,-65.94281768798828,189.05718994140625,zscore_range,,,52.598148542257334,109.5207324504195,zscore
24_mnist,4858,25,continuous,254,-65.99446868896484,189.00552368164065,zscore_range,,,53.24533902101921,110.51474871694393,zscore
24_mnist,4858,26,constant,1,-0.012183333747089,-0.012183333747089,constant,-0.012183333747089,-0.012183333747089,,,fallback
24_mnist,4858,27,continuous,253,-82.95281982421875,172.04718017578125,zscore_range,,,34.58937861135144,113.18686103235798,zscore
24_mnist,4858,28,constant,1,-0.112199999392033,-0.112199999392033,constant,-0.112199999392033,-0.112199999392033,,,fallback
24_mnist,4858,29,constant,1,-0.022183332592249,-0.022183332592249,constant,-0.022183332592249,-0.022183332592249,,,fallback
24_mnist,4858,30,continuous,86,-3.640049934387207,251.3599548339844,zscore_range,,,-1.3485719432257586,18.25394549846962,zscore
