dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,mean,std,param_strategy
35_SpamBase,1741,0,continuous,109,0.0,4.34,zscore_range,,,0.07845491097070649,0.31821871369793026,zscore
35_SpamBase,1741,1,continuous,98,0.0,9.52,zscore_range,,,0.07630097645031592,0.4320069100115476,zscore
35_SpamBase,1741,2,continuous,169,0.0,4.54,zscore_range,,,0.22264215967834577,0.5275568988128715,zscore
35_SpamBase,1741,3,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
35_SpamBase,1741,4,continuous,167,0.0,10.0,zscore_range,,,0.20545663411832282,0.6827301689659256,zscore
35_SpamBase,1741,5,continuous,85,0.0,5.88,zscore_range,,,0.050178058587018966,0.2495250454496046,zscore
35_SpamBase,1741,6,continuous,23,0.0,3.07,zscore_range,,,0.010201033888569787,0.12195617342134298,zscore
35_SpamBase,1741,7,continuous,71,0.0,5.88,zscore_range,,,0.03736932797242964,0.245177439317342,zscore
35_SpamBase,1741,8,continuous,81,0.0,3.23,zscore_range,,,0.040924755887421026,0.18208318305178728,zscore
35_SpamBase,1741,9,continuous,162,0.0,11.11,zscore_range,,,0.1775473865594486,0.5999037005529868,zscore
35_SpamBase,1741,10,continuous,48,0.0,2.0,zscore_range,,,0.01534175761056864,0.0921842972564594,zscore
35_SpamBase,1741,11,continuous,265,0.0,7.69,zscore_range,,,0.5735324526134405,0.9907615690675526,zscore
35_SpamBase,1741,12,continuous,104,0.0,5.55,zscore_range,,,0.07245835726593912,0.28938910307027715,zscore
35_SpamBase,1741,13,continuous,55,0.0,10.0,zscore_range,,,0.04470993681792073,0.38080508032392757,zscore
35_SpamBase,1741,14,continuous,26,0.0,1.7,zscore_range,,,0.008701895462377943,0.09186392767759487,zscore
35_SpamBase,1741,15,continuous,98,0.0,20.0,zscore_range,,,0.07666283744974153,0.5648924257436967,zscore
35_SpamBase,1741,16,continuous,87,0.0,3.57,zscore_range,,,0.0524526134405514,0.236854540049842,zscore
35_SpamBase,1741,17,continuous,123,0.0,7.69,zscore_range,,,0.10836875358989086,0.4317894635967553,zscore
35_SpamBase,1741,18,continuous,408,0.0,18.75,zscore_range,,,1.391751866743251,1.8248650437234557,zscore
35_SpamBase,1741,19,continuous,31,0.0,2.7,zscore_range,,,0.009908098793796668,0.10874086226818182,zscore
35_SpamBase,1741,20,continuous,245,0.0,10.71,zscore_range,,,0.46546237794371054,0.985558837494233,zscore
35_SpamBase,1741,21,continuous,18,0.0,11.42,zscore_range,,,0.06153934520390581,0.7284420656015702,zscore
35_SpamBase,1741,22,continuous,31,0.0,1.25,zscore_range,,,0.007610568638713383,0.061754270063473345,zscore
35_SpamBase,1741,23,continuous,28,0.0,9.09,zscore_range,,,0.01572085008615738,0.2417094257297044,zscore
35_SpamBase,1741,24,continuous,330,0.0,20.83,zscore_range,,,0.9378173463526709,2.0988504698072403,zscore
35_SpamBase,1741,25,continuous,237,0.0,16.66,zscore_range,,,0.45562894887995403,1.1028678182998957,zscore
35_SpamBase,1741,26,categorical_low_card,17,0.0,25.0,minmax,0.0,25.0,,,fallback
35_SpamBase,1741,27,continuous,163,0.0,5.88,zscore_range,,,0.19544514646754738,0.6161538724154267,zscore
35_SpamBase,1741,28,continuous,132,0.0,14.28,zscore_range,,,0.16311315336013787,0.7527529130719485,zscore
35_SpamBase,1741,29,categorical_low_card,7,0.0,6.0,minmax,0.0,6.0,,,fallback
35_SpamBase,1741,30,continuous,109,0.0,12.5,zscore_range,,,0.11026421596783458,0.5299355018358956,zscore
35_SpamBase,1741,31,categorical_low_card,6,0.0,5.0,minmax,0.0,5.0,,,fallback
35_SpamBase,1741,32,continuous,127,0.0,18.18,zscore_range,,,0.13815048822515794,0.6978959288438998,zscore
35_SpamBase,1741,33,continuous,85,0.0,4.76,zscore_range,,,0.07461229178632968,0.3804431221009379,zscore
35_SpamBase,1741,34,continuous,147,0.0,5.88,zscore_range,,,0.164290637564618,0.5401434962283115,zscore
35_SpamBase,1741,35,continuous,134,0.0,7.69,zscore_range,,,0.14703618609994257,0.4906530753910939,zscore
35_SpamBase,1741,36,continuous,171,0.0,6.89,zscore_range,,,0.22847788627225732,0.5430021988327256,zscore
35_SpamBase,1741,37,continuous,29,0.0,7.4,zscore_range,,,0.0196496266513498,0.27586726727034944,zscore
35_SpamBase,1741,38,categorical_low_card,7,0.0,9.0,minmax,0.0,9.0,,,fallback
35_SpamBase,1741,39,continuous,95,0.0,4.76,zscore_range,,,0.07796668581275129,0.4004844869378502,zscore
35_SpamBase,1741,40,categorical_low_card,7,0.0,6.0,minmax,0.0,6.0,,,fallback
35_SpamBase,1741,41,continuous,144,0.0,14.28,zscore_range,,,0.20817346352670876,0.9717491916383311,zscore
35_SpamBase,1741,42,continuous,116,0.0,3.57,zscore_range,,,0.07651349798966112,0.29711086021610805,zscore
35_SpamBase,1741,43,continuous,120,0.0,16.66,zscore_range,,,0.1344859276278001,0.7838977066779059,zscore
35_SpamBase,1741,44,continuous,199,0.0,14.28,zscore_range,,,0.43412981045376225,1.0899762621086178,zscore
35_SpamBase,1741,45,continuous,184,0.0,16.7,zscore_range,,,0.3023377369327972,1.0965871513368786,zscore
35_SpamBase,1741,46,categorical_low_card,3,0.0,2.0,minmax,0.0,2.0,,,fallback
35_SpamBase,1741,47,continuous,89,0.0,10.0,zscore_range,,,0.06421596783457782,0.4403857473066551,zscore
35_SpamBase,1741,48,continuous,220,0.0,4.385,zscore_range,,,0.061304997128087305,0.3524705625183495,zscore
35_SpamBase,1741,49,continuous,490,0.0,2.941,zscore_range,,,0.16348305571510627,0.23686703282801674,zscore
35_SpamBase,1741,50,continuous,169,0.0,2.777,zscore_range,,,0.023264790350373352,0.11542715646724562,zscore
