dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,mean,std,param_strategy
41_Waveform,2336,0,continuous,461,-2.95,3.94,zscore_range,,,0.036207191780821914,1.0325006624842767,zscore
41_Waveform,2336,1,continuous,477,-3.25,3.5,zscore_range,,,0.24439640410958907,1.0490659064534316,zscore
41_Waveform,2336,2,continuous,518,-4.2,4.35,zscore_range,,,0.47401113013698626,1.1652597812302767,zscore
41_Waveform,2336,3,continuous,602,-3.84,5.75,zscore_range,,,0.7288484589041095,1.42531791730528,zscore
41_Waveform,2336,4,continuous,668,-3.48,6.5,zscore_range,,,0.9384118150684932,1.6637005665898426,zscore
41_Waveform,2336,5,continuous,694,-2.76,7.0,zscore_range,,,1.707726883561644,1.7919074685233825,zscore
41_Waveform,2336,6,continuous,763,-3.32,8.76,zscore_range,,,2.4549186643835617,2.0081276190721566,zscore
41_Waveform,2336,7,continuous,698,-2.95,7.84,zscore_range,,,2.6936515410958908,1.747375374320547,zscore
41_Waveform,2336,8,continuous,664,-2.37,7.9,zscore_range,,,2.998668664383562,1.6252428110935393,zscore
41_Waveform,2336,9,continuous,609,-1.77,7.63,zscore_range,,,3.4730094178082194,1.4398853264534515,zscore
41_Waveform,2336,10,continuous,629,-1.03,9.06,zscore_range,,,4.007046232876712,1.5359254688323019,zscore
41_Waveform,2336,11,continuous,615,-1.61,7.4,zscore_range,,,3.5173672945205476,1.435921692936429,zscore
41_Waveform,2336,12,continuous,654,-2.2,7.5,zscore_range,,,3.040744863013699,1.5969450318984428,zscore
41_Waveform,2336,13,continuous,702,-2.37,7.75,zscore_range,,,2.7701797945205477,1.758186420213134,zscore
41_Waveform,2336,14,continuous,758,-2.48,8.04,zscore_range,,,2.5200042808219174,1.9803453867972305,zscore
41_Waveform,2336,15,continuous,703,-2.99,7.55,zscore_range,,,1.7715025684931505,1.7808317312309876,zscore
41_Waveform,2336,16,continuous,663,-3.56,6.71,zscore_range,,,1.01375,1.6436127345155378,zscore
41_Waveform,2336,17,continuous,594,-3.19,5.56,zscore_range,,,0.776832191780822,1.4142562966185912,zscore
41_Waveform,2336,18,continuous,523,-3.5,4.54,zscore_range,,,0.5039768835616438,1.191365258541708,zscore
41_Waveform,2336,19,continuous,474,-3.25,3.61,zscore_range,,,0.2785830479452055,1.0548231953324017,zscore
41_Waveform,2336,20,continuous,454,-3.46,3.32,zscore_range,,,-0.014019691780821924,0.9827811988872226,zscore
