dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,mean,std,param_strategy
43_WDBC,259,0,continuous,219,6.981,17.85,zscore_range,,,12.180861003861004,1.7840151117364482,zscore
43_WDBC,259,1,continuous,240,10.72,33.81,zscore_range,,,17.754401544401546,3.9744544232276984,zscore
43_WDBC,259,2,continuous,250,43.79,114.6,zscore_range,,,78.26432432432432,11.776526379973486,zscore
43_WDBC,259,3,continuous,251,143.5,992.1,zscore_range,,,465.5687258687259,136.36672870463818,zscore
43_WDBC,259,4,continuous,249,0.05263,0.1634,zscore_range,,,0.09235250965250966,0.01364313640339792,zscore
43_WDBC,259,5,continuous,256,0.01938,0.2239,zscore_range,,,0.07943772200772202,0.034323207057138455,zscore
43_WDBC,259,6,continuous,249,0.0,0.4108,zscore_range,,,0.04620449305019305,0.04503685707448079,zscore
43_WDBC,259,7,continuous,248,0.0,0.07857,zscore_range,,,0.025454239382239383,0.015397064205343444,zscore
43_WDBC,259,8,continuous,223,0.1167,0.2595,zscore_range,,,0.17337220077220078,0.023880232034659728,zscore
43_WDBC,259,9,continuous,241,0.05185,0.09575,zscore_range,,,0.06284583011583013,0.007179053103403461,zscore
43_WDBC,259,10,continuous,244,0.1115,0.8811,zscore_range,,,0.2859451737451738,0.11665107958608509,zscore
43_WDBC,259,11,continuous,249,0.3602,4.885,zscore_range,,,1.202414671814672,0.5708518417832803,zscore
43_WDBC,259,12,continuous,244,0.757,5.118,zscore_range,,,2.00462277992278,0.7909404381745584,zscore
43_WDBC,259,13,continuous,241,7.228,77.11,zscore_range,,,21.362289575289573,9.248565526105306,zscore
43_WDBC,259,14,continuous,252,0.001713,0.02177,zscore_range,,,0.007171220077220077,0.0030380154086805896,zscore
43_WDBC,259,15,continuous,248,0.002252,0.1064,zscore_range,,,0.02161276061776062,0.017468341214890413,zscore
43_WDBC,259,16,continuous,246,0.0,0.396,zscore_range,,,0.026956191505791503,0.03639674821204246,zscore
43_WDBC,259,17,continuous,243,0.0,0.05279,zscore_range,,,0.009932250965250964,0.005965603611582817,zscore
43_WDBC,259,18,continuous,244,0.009539,0.04243,zscore_range,,,0.02021273745173745,0.0066894367545579335,zscore
43_WDBC,259,19,continuous,256,0.0008948,0.02984,zscore_range,,,0.003664522393822394,0.003231866163563961,zscore
43_WDBC,259,20,continuous,213,7.93,19.82,zscore_range,,,13.429185328185326,1.9833691384607752,zscore
43_WDBC,259,21,continuous,250,12.49,41.78,zscore_range,,,23.322355212355212,5.5017992365293695,zscore
43_WDBC,259,22,continuous,247,50.41,127.1,zscore_range,,,87.23602316602317,13.501408192515717,zscore
43_WDBC,259,23,continuous,252,185.2,1210.0,zscore_range,,,563.0366795366795,165.9406041287877,zscore
43_WDBC,259,24,continuous,217,0.07117,0.2006,zscore_range,,,0.12468046332046334,0.020285025892539794,zscore
43_WDBC,259,25,continuous,247,0.02729,0.5849,zscore_range,,,0.18072023166023166,0.09448934113625368,zscore
43_WDBC,259,26,continuous,249,0.0,1.252,zscore_range,,,0.16744707335907336,0.14847804724812433,zscore
43_WDBC,259,27,continuous,232,0.0,0.175,zscore_range,,,0.07386459845559844,0.034866870684160105,zscore
43_WDBC,259,28,continuous,238,0.1712,0.4228,zscore_range,,,0.26836254826254824,0.03943726197540084,zscore
43_WDBC,259,29,continuous,255,0.05521,0.1486,zscore_range,,,0.07923629343629343,0.014572511707262295,zscore
