dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,mean,std,param_strategy
45_wine,87,0,continuous,72,11.03,14.34,zscore_range,,,12.684137931034485,0.6871355698258222,zscore
45_wine,87,1,continuous,77,0.89,5.8,zscore_range,,,2.6093103448275863,1.2527576873547086,zscore
45_wine,87,2,continuous,54,1.7,3.23,zscore_range,,,2.361494252873563,0.28714419756779974,zscore
45_wine,87,3,continuous,31,15.0,30.0,zscore_range,,,21.0,3.00168535035382,zscore
45_wine,87,4,continuous,38,78.0,151.0,zscore_range,,,97.34482758620689,13.58229712107698,zscore
45_wine,87,5,continuous,65,1.1,3.5,zscore_range,,,2.0041379310344833,0.5544605988595342,zscore
45_wine,87,6,continuous,67,0.47,5.08,zscore_range,,,1.5418390804597704,0.8604336366451621,zscore
45_wine,87,7,continuous,31,0.13,0.63,zscore_range,,,0.40045977011494255,0.1343002986617558,zscore
45_wine,87,8,continuous,57,0.41,2.91,zscore_range,,,1.4519540229885057,0.5201079443232755,zscore
45_wine,87,9,continuous,73,1.9,13.0,zscore_range,,,5.042988505747126,2.70673197147134,zscore
45_wine,87,10,continuous,56,0.48,1.71,zscore_range,,,0.9021379310344827,0.2628849305725913,zscore
45_wine,87,11,continuous,73,1.27,3.69,zscore_range,,,2.315632183908046,0.7012725725658757,zscore
45_wine,87,12,continuous,64,278.0,985.0,zscore_range,,,568.551724137931,151.01950537190376,zscore
