dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,mean,std,param_strategy
5_campaign,25495,0,continuous,74,0.0,0.962963,zscore_range,,,0.2820073878407531,0.1220520563620069,zscore
5_campaign,25495,1,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,2,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,3,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,4,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,5,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,6,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,7,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,8,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,9,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,10,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,11,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,12,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,13,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,14,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,15,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,16,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,17,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,18,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,19,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,20,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,21,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,22,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,23,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,24,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,25,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,26,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,27,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,28,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,29,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,30,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,31,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,32,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,33,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,34,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,35,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,36,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,37,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,38,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,39,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,40,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,41,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,42,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,43,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,44,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,45,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,46,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,47,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,48,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,49,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,50,continuous,1154,0.0,0.684425,zscore_range,,,0.04476931990586389,0.04145835370044451,zscore
5_campaign,25495,51,continuous,42,0.0,1.0,zscore_range,,,0.029634387566189448,0.051893985858380884,zscore
5_campaign,25495,52,continuous,23,0.0,1.0,zscore_range,,,0.9850322571092371,0.12103932188302963,zscore
5_campaign,25495,53,continuous,7,0.0,0.857143,zscore_range,,,0.01884401341439498,0.05863751300222538,zscore
5_campaign,25495,54,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,55,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,56,binary_01,2,0.0,1.0,binary_01,0.0,1.0,,,fallback
5_campaign,25495,57,continuous,10,0.0,1.0,zscore_range,,,0.7619475501470877,0.3086501437733757,zscore
5_campaign,25495,58,continuous,26,0.0,1.0,zscore_range,,,0.5476175013139831,0.2177314232392933,zscore
5_campaign,25495,59,continuous,26,0.0,1.0,zscore_range,,,0.42813857630908025,0.18353158442544037,zscore
5_campaign,25495,60,continuous,303,0.0,1.0,zscore_range,,,0.7223482196116886,0.3708606003051182,zscore
