dataset,n_train,feature_index,feature_class,unique_count,min_train,max_train,range_strategy,range_l,range_u,mean,std,param_strategy
6_cardio,1127,0,continuous,47,-2.746330647550977,2.967789350890879,zscore_range,,,0.009982518742018474,1.0024295307316389,zscore
6_cardio,1127,1,continuous,687,-0.91998843744384,3.956212395171415,zscore_range,,,0.1052376544785144,1.0190585924522468,zscore
6_cardio,1127,2,continuous,366,-0.203640485666361,9.929344871973717,zscore_range,,,-0.032563809817972,0.8778931735334542,zscore
6_cardio,1127,3,continuous,830,-1.635871141309735,3.584122058391825,zscore_range,,,0.024611153385248552,0.9554063722743096,zscore
6_cardio,1127,4,continuous,444,-0.683598474400773,4.316910153120069,zscore_range,,,-0.038231207380264476,0.9553298886713802,zscore
6_cardio,1127,5,continuous,2,-0.061400644495402,13.074629213397005,zscore_range,,,-0.04974489484332357,0.39111944332373655,zscore
6_cardio,1127,6,continuous,48,-0.278294946006147,4.365599411432297,zscore_range,,,-0.1925778407578523,0.439228836767682,zscore
6_cardio,1127,7,continuous,70,-1.949571744596599,2.298036292698139,zscore_range,,,-0.12943371914248303,0.9181526447299516,zscore
6_cardio,1127,8,continuous,51,-1.441358488528391,6.433868064468475,zscore_range,,,-0.012254990531007983,0.9330689155232895,zscore
6_cardio,1127,9,continuous,61,-0.420487347915062,4.123053507733356,zscore_range,,,-0.1108874884656201,0.7027764993668685,zscore
6_cardio,1127,10,continuous,227,-1.398087924648133,5.716903416865029,zscore_range,,,0.06231839771397039,0.9900388073730461,zscore
6_cardio,1127,11,continuous,144,-1.691189996014992,2.70388537018061,zscore_range,,,0.0025686161262311485,0.9656035566057793,zscore
6_cardio,1127,12,continuous,101,-1.439841365194317,2.302037323948854,zscore_range,,,0.00868798682291787,0.9704202846950503,zscore
6_cardio,1127,13,continuous,84,-2.325378561577513,4.05478349294656,zscore_range,,,0.01874486499670216,0.9735521178791265,zscore
6_cardio,1127,14,continuous,17,-1.441407750185039,4.750708598954497,zscore_range,,,0.0029920607253565595,0.9810298248192327,zscore
6_cardio,1127,15,continuous,5,-0.488278885185423,5.31716682114256,zscore_range,,,-0.00019904430292396467,0.918680445323057,zscore
6_cardio,1127,16,continuous,69,-2.463852159953684,3.066780855990535,zscore_range,,,0.15114873674830867,0.8243950271646464,zscore
6_cardio,1127,17,continuous,72,-2.871594747268565,3.002429276615882,zscore_range,,,0.13396756239462038,0.8417133716524791,zscore
6_cardio,1127,18,continuous,72,-2.182355956472138,3.197089891599763,zscore_range,,,0.1330956913504969,0.881742866501555,zscore
6_cardio,1127,19,continuous,99,-0.690589747523018,5.221269291662685,zscore_range,,,-0.09697068709615794,0.7433801026234728,zscore
6_cardio,1127,20,continuous,3,-2.126605466808859,1.140017527928574,zscore_range,,,0.07191586549668072,0.9645514484246452,zscore
